Ticker,Name,Asset Class,Sector,Country,Currency,Weight (%),Shares/Units (#),Market Value (AUD),Notional Value (AUD)
BHP AT,BHP GROUP LTD,Equities,Materials,Australia,AUD,9.73314026,11320842.0,498683090.1,498683090.1
CBA AT,COMMONWEALTH BANK OF AUSTRALIA,Equities,Financials,Australia,AUD,9.09362886,3731817.0,465917352.45,465917352.45
CSL AT,CSL LTD,Equities,Healthcare,Australia,AUD,6.09259085,1078264.0,312157428.0,312157428.0
NAB AT,NATIONAL AUSTRALIA BANK LTD,Equities,Financials,Australia,AUD,4.71645736,6904298.0,241650430.0,241650430.0
WBC AT,WESTPAC BANKING CORP,Equities,Financials,Australia,AUD,4.08895521,7767890.0,209499993.3,209499993.3
ANZ AT,ANZ GROUP HOLDINGS LTD,Equities,Financials,Australia,AUD,3.80821385,6714248.0,195116046.88,195116046.88
WES AT,WESFARMERS LTD,Equities,Consumer Discretionary,Australia,AUD,3.26649389,2525437.0,167360709.99,167360709.99
MQG AT,MACQUARIE GROUP LTD,Equities,Financials,Australia,AUD,3.2313183,848061.0,165558468.42,165558468.42
GMG AT,GOODMAN GROUP,Equities,Real Estate,Australia,AUD,2.77147416,4047836.0,141998086.88,141998086.88
WDS AT,WOODSIDE ENERGY GROUP LTD,Equities,Energy,Australia,AUD,2.19083992,4140500.0,112248955.0,112248955.0
RIO AT,RIO TINTO LTD,Equities,Materials,Australia,AUD,2.01058954,827353.0,103013722.03,103013722.03
TLS AT,TELSTRA GROUP LTD,Equities,Communication Services,Australia,AUD,1.78471954,25758068.0,91441141.4,91441141.4
TCL AT,TRANSURBAN GROUP,Equities,Industrials,Australia,AUD,1.72602655,6887381.0,88433972.04,88433972.04
FMG AT,FORTESCUE METALS GROUP LTD,Equities,Materials,Australia,AUD,1.66023719,3535462.0,85063215.72,85063215.72
WOW AT,WOOLWORTHS GROUP LTD,Equities,Consumer Staples,Australia,AUD,1.62424614,2584447.0,83219193.4,83219193.4
QBE AT,QBE INSURANCE GROUP LTD,Equities,Financials,Australia,AUD,1.19864541,3335866.0,61413293.06,61413293.06
ALL AT,ARISTOCRAT LEISURE LTD,Equities,Consumer Discretionary,Australia,AUD,1.11789185,1236792.0,57275837.52,57275837.52
STO AT,SANTOS LTD,Equities,Energy,Australia,AUD,1.06150654,7232301.0,54386903.52,54386903.52
COL AT,COLES GROUP LTD,Equities,Consumer Staples,Australia,AUD,0.94701245,2889859.0,48520732.61,48520732.61
SUN AT,SUNCORP GROUP LTD,Equities,Financials,Australia,AUD,0.90321489,2823474.0,46276738.86,46276738.86
COH AT,COCHLEAR LTD,Equities,Healthcare,Australia,AUD,0.88995949,138422.0,45597591.02,45597591.02
BXB AT,BRAMBLES LTD,Equities,Industrials,Australia,AUD,0.88821571,3106365.0,45508247.25,45508247.25
JHX AT,JAMES HARDIE INDUSTRIES PLC,Equities,Materials,Australia,AUD,0.8668979,960554.0,44416016.96,44416016.96
XRO AT,XERO LTD,Equities,Information Technology,Australia,AUD,0.76987938,307685.0,39445217.0,39445217.0
ORG AT,ORIGIN ENERGY LTD,Equities,Utilities,Australia,AUD,0.76783779,3823189.0,39340614.81,39340614.81
RMD AT,RESMED INC,Equities,Healthcare,Australia,AUD,0.76213699,1228714.0,39048530.92,39048530.92
S32 AT,SOUTH32 LTD,Equities,Materials,Australia,AUD,0.76085068,10073030.0,38982626.1,38982626.1
SCG AT,SCENTRE GROUP,Equities,Real Estate,Australia,AUD,0.72676428,11564034.0,37236189.48,37236189.48
NST AT,NORTHERN STAR RESOURCES LTD,Equities,Materials,Australia,AUD,0.72433296,2552381.0,37111619.74,37111619.74
WTC AT,WISETECH GLOBAL LTD,Equities,Information Technology,Australia,AUD,0.68378665,349573.0,35034206.06,35034206.06
IAG AT,INSURANCE AUSTRALIA GROUP LTD,Equities,Financials,Australia,AUD,0.67795664,5360417.0,34735502.16,34735502.16
CPU AT,COMPUTERSHARE LTD,Equities,Industrials,Australia,AUD,0.62377918,1187651.0,31959688.41,31959688.41
ASX AT,ASX LTD,Equities,Financials,Australia,AUD,0.53467982,430057.0,27394630.9,27394630.9
MIN AT,MINERAL RESOURCES LTD,Equities,Materials,Australia,AUD,0.50357532,372040.0,25800974.0,25800974.0
TLC AT,LOTTERY CORP LTD/THE,Equities,Consumer Discretionary,Australia,AUD,0.49645798,4929518.0,25436312.88,25436312.88
CAR AT,CARSALES.COM LTD,Equities,Communication Services,Australia,AUD,0.49445267,704689.0,25333569.55,25333569.55
SHL AT,SONIC HEALTHCARE LTD,Equities,Healthcare,Australia,AUD,0.49104408,1017756.0,25158928.32,25158928.32
APA AT,APA GROUP,Equities,Utilities,Australia,AUD,0.47426707,2845357.0,24299348.78,24299348.78
SGP AT,STOCKLAND,Equities,Real Estate,Australia,AUD,0.4738223,5289011.0,24276560.49,24276560.49
QAN AT,QANTAS AIRWAYS LTD,Equities,Industrials,Australia,AUD,0.46621125,3840290.0,23886603.8,23886603.8
MPL AT,MEDIBANK PVT LTD,Equities,Financials,Australia,AUD,0.45361368,6148455.0,23241159.9,23241159.9
NEM AT,NEWMONT CORP,Equities,Materials,Australia,AUD,0.44542538,369282.0,22821627.6,22821627.6
NXT AT,NEXTDC LTD,Equities,Information Technology,Australia,AUD,0.44062814,1261925.0,22575838.25,22575838.25
PLS AT,PILBARA MINERALS LTD,Equities,Materials,Australia,AUD,0.43866246,5977427.0,22475125.52,22475125.52
TWE AT,TREASURY WINE ESTATES LTD,Equities,Consumer Staples,Australia,AUD,0.42558359,1806547.0,21805022.29,21805022.29
REA AT,REA GROUP LTD,Equities,Communication Services,Australia,AUD,0.41048741,112013.0,21031560.88,21031560.88
BSL AT,BLUESCOPE STEEL LTD,Equities,Materials,Australia,AUD,0.4079567,991081.0,20901898.29,20901898.29
AMC AT,AMCOR PLC,Equities,Materials,Australia,AUD,0.39607757,1319458.0,20293264.04,20293264.04
RHC AT,RAMSAY HEALTH CARE LTD,Equities,Healthcare,Australia,AUD,0.38920423,405307.0,19941104.4,19941104.4
ORI AT,ORICA LTD,Equities,Materials,Australia,AUD,0.36271964,1017752.0,18584151.52,18584151.52
