Ticker,Name,Asset Class,Sector,Country,Currency,Weight (%),Shares/Units (#),Market Value (AUD),Notional Value (AUD)
WTC AT,WISETECH GLOBAL LTD,Equities,Information Technology,Australia,AUD,10.62886278,244001.0,24453780.22,24453780.22
CPU AT,COMPUTERSHARE LTD,Equities,Industrials,Australia,AUD,10.36545091,886204.0,23847749.64,23847749.64
CAR AT,CARSALES.COM LTD,Equities,Communication Services,Australia,AUD,10.0138284,640856.0,23038773.2,23038773.2
XRO AT,XERO LTD,Equities,Information Technology,New Zealand,AUD,9.50209626,170526.0,21861433.2,21861433.2
NXT AT,NEXTDC LTD,Equities,Information Technology,Australia,AUD,8.8908337,1143382.0,20455103.98,20455103.98
REA AT,REA GROUP LTD,Equities,Communication Services,Australia,AUD,8.00350181,98070.0,18413623.2,18413623.2
ALU AT,ALTIUM LTD,Equities,Information Technology,Australia,AUD,6.83675685,233615.0,15729297.95,15729297.95
SEK AT,SEEK LTD,Equities,Communication Services,Australia,AUD,6.77805025,674491.0,15594231.92,15594231.92
PME AT,PRO MEDICUS LTD,Equities,Healthcare,Australia,AUD,5.29616874,99444.0,12184873.32,12184873.32
TNE AT,TECHNOLOGY ONE LTD,Equities,Information Technology,Australia,AUD,4.49816363,570502.0,10348906.28,10348906.28
SQ2 AT,BLOCK INC,Equities,Financials,United States,AUD,2.77324196,64980.0,6380386.2,6380386.2
360 AT,LIFE360 INC,Equities,Information Technology,United States,AUD,2.48581787,389320.0,5719110.8,5719110.8
MP1 AT,MEGAPORT LTD,Equities,Information Technology,Australia,AUD,1.65670048,302986.0,3811563.88,3811563.88
IRE AT,IRESS LTD,Equities,Information Technology,Australia,AUD,1.20245351,349303.0,2766479.76,2766479.76
CDA AT,CODAN LTD/AUSTRALIA,Equities,Information Technology,Australia,AUD,1.06121217,224405.0,2441526.4,2441526.4
DTL AT,DATA#3 LTD,Equities,Information Technology,Australia,AUD,1.04091893,294568.0,2394837.84,2394837.84
AD8 AT,AUDINATE GROUP LTD,Equities,Information Technology,Australia,AUD,1.01246587,145586.0,2329376.0,2329376.0
MAQ AT,MACQUARIE TECHNOLOGY GROUP LTD,Equities,Information Technology,Australia,AUD,0.97468436,25494.0,2242452.24,2242452.24
SDR AT,SITEMINDER LTD,Equities,Information Technology,Australia,AUD,0.9544453,464247.0,2195888.31,2195888.31
HSN AT,HANSEN TECHNOLOGIES LTD,Equities,Information Technology,Australia,AUD,0.63533385,319849.0,1461709.93,1461709.93
DHG AT,DOMAIN HOLDINGS AUSTRALIA LTD,Equities,Communication Services,Australia,AUD,0.62104314,481088.0,1428831.36,1428831.36
NXL AT,NUIX LTD,Equities,Information Technology,Australia,AUD,0.55700889,428598.0,1281508.02,1281508.02
DDR AT,DICKER DATA LTD,Equities,Information Technology,Australia,AUD,0.52115607,127015.0,1199021.6,1199021.6
RUL AT,RPMGLOBAL HOLDINGS LTD,Equities,Information Technology,Australia,AUD,0.50504818,427192.0,1161962.24,1161962.24
IFM AT,INFOMEDIA LTD,Equities,Information Technology,Australia,AUD,0.49028917,713928.0,1128006.24,1128006.24
OFX AT,OFX GROUP LTD,Equities,Financials,Australia,AUD,0.43840751,473541.0,1008642.33,1008642.33
WBT AT,WEEBIT NANO LTD,Equities,Information Technology,Australia,AUD,0.35177459,358109.0,809326.34,809326.34
TYR AT,TYRO PAYMENTS LTD,Equities,Financials,Australia,AUD,0.34439109,996653.0,792339.14,792339.14
BRN AT,BRAINCHIP HOLDINGS LTD,Equities,Information Technology,Australia,AUD,0.29920016,3128948.0,688368.56,688368.56
EML AT,EML PAYMENTS LTD,Equities,Financials,Australia,AUD,0.26262575,656763.0,604221.96,604221.96
NVX AT,NOVONIX LTD,Equities,Information Technology,Australia,AUD,0.2192034,781892.0,504320.34,504320.34
DUG AT,DUG TECHNOLOGY LTD,Equities,Information Technology,Australia,AUD,0.20177572,179932.0,464224.56,464224.56
PPS AT,PRAEMIUM LTD,Equities,Information Technology,Australia,AUD,0.17959004,928499.0,413182.06,413182.06
4DX AT,4DMEDICAL LTD,Equities,Healthcare,Australia,AUD,0.15459992,602860.0,355687.4,355687.4
4DS AT,4DS MEMORY LTD,Equities,Information Technology,Australia,AUD,0.11226511,3188739.0,258287.86,258287.86
APX AT,APPEN LTD,Equities,Information Technology,Australia,AUD,0.08698523,392405.0,200126.55,200126.55
AUD,AUD - AUSTRALIA DOLLAR,Cash,,,AUD,0.04364842,100421.73,100421.73,100421.73
