Ticker,SEDOL,Name,Asset Class,Sector,Country,Currency,Weight (%),Shares/Units (#),Market Value (AUD),Notional Value (AUD)
MSFT UW,,MICROSOFT CORP,Equities,Information Technology,United States,USD,5.0098975683,63607.0,40401418.39,40401418.39
AAPL UW,,APPLE INC,Equities,Information Technology,United States,USD,4.0879102117,128471.0,32966217.08,32966217.08
NVDA UW,,NVIDIA CORP,Equities,Information Technology,United States,USD,3.3364489584999997,20606.0,26906192.89,26906192.89
AMZN UW,,AMAZON.COM INC,Equities,Consumer Discretionary,United States,USD,2.6481004359,78053.0,21355129.96,21355129.96
META UW,,META PLATFORMS INC,Equities,Communication Services,United States,USD,1.839133013,19098.0,14831357.59,14831357.59
GOOGL UW,,ALPHABET INC,Equities,Communication Services,United States,USD,1.4721280933,51886.0,11871712.39,11871712.39
GOOG UW,,ALPHABET INC,Equities,Communication Services,United States,USD,1.2195256044,42584.0,9834645.02,9834645.02
LLY UN,,ELI LILLY & CO,Equities,Healthcare,United States,USD,1.0589931107,7315.0,8540059.58,8540059.58
AVGO UW,,BROADCOM INC,Equities,Information Technology,United States,USD,0.9858559873,3970.0,7950258.4,7950258.4
JPM UN,,JPMORGAN CHASE & CO,Equities,Financials,United States,USD,0.9167182011999999,24859.0,7392709.15,7392709.15
BRK/B UN,,BERKSHIRE HATHAWAY INC,Equities,Financials,United States,USD,0.8648461543,11048.0,6974396.35,6974396.35
XOM UN,,EXXON MOBIL CORP,Equities,Energy,United States,USD,0.7838019851,34735.0,6320830.22,6320830.22
TSLA UW,,TESLA INC,Equities,Consumer Discretionary,United States,USD,0.7757091855,24052.0,6255567.29,6255567.29
V UN,,VISA INC,Equities,Financials,United States,USD,0.717908266,13901.0,5789442.16,5789442.16
UNH UN,,UNITEDHEALTH GROUP INC,Equities,Healthcare,United States,USD,0.6850205675000001,7981.0,5524225.23,5524225.23
NOVOB DC,,NOVO NORDISK A/S,Equities,Healthcare,Denmark,DKK,0.6544520116,27769.0,5277710.61,5277710.61
ASML NA,,ASML HOLDING NV,Equities,Information Technology,Netherlands,EUR,0.6308926629,3427.0,5087720.47,5087720.47
MA UN,,MASTERCARD INC,Equities,Financials,United States,USD,0.6308738051,7125.0,5087568.4,5087568.4
PG UN,,PROCTER & GAMBLE CO/THE,Equities,Consumer Staples,United States,USD,0.6067380485,20708.0,4892929.93,4892929.93
JNJ UN,,JOHNSON & JOHNSON,Equities,Healthcare,United States,USD,0.6039619567000001,21012.0,4870542.64,4870542.64
HD UN,,HOME DEPOT INC/THE,Equities,Consumer Discretionary,United States,USD,0.5821425534,8635.0,4694583.98,4694583.98
MRK UN,,MERCK & CO INC,Equities,Healthcare,United States,USD,0.5191081677,21574.0,4186254.51,4186254.51
COST UW,,COSTCO WHOLESALE CORP,Equities,Consumer Staples,United States,USD,0.5172159862,3893.0,4170995.35,4170995.35
ABBV UN,,ABBVIE INC,Equities,Healthcare,United States,USD,0.48779618389999996,15414.0,3933744.64,3933744.64
CVX UN,,CHEVRON CORP,Equities,Energy,United States,USD,0.46494102649999997,15351.0,3749433.33,3749433.33
CRM UN,,SALESFORCE INC,Equities,Information Technology,United States,USD,0.4569398617,8242.0,3684909.38,3684909.38
7203 JT,,TOYOTA MOTOR CORP,Equities,Consumer Discretionary,Japan,JPY,0.454395382,99678.0,3664389.88,3664389.88
NESN SE,,NESTLE SA,Equities,Consumer Staples,United States,CHF,0.4478307194,22603.0,3611450.34,3611450.34
NFLX UW,,NETFLIX INC,Equities,Communication Services,United States,USD,0.43527109399999997,3742.0,3510165.5,3510165.5
AMD UW,,ADVANCED MICRO DEVICES INC,Equities,Information Technology,United States,USD,0.4327101067,13844.0,3489512.87,3489512.87
