Ticker,SEDOL,Name,Asset Class,Sector,Country,Currency,Weight (%),Shares/Units (#),Market Value (AUD),Notional Value (AUD)
MSFT UW,,MICROSOFT CORP,Equities,Information Technology,United States,USD,4.50864166,975.0,619293.21,619293.21
COST UW,,COSTCO WHOLESALE CORP,Equities,Consumer Staples,United States,USD,4.1652969,534.0,572132.42,572132.42
V UN,,VISA INC,Equities,Financials,United States,USD,4.07511013,1344.0,559744.64,559744.64
NOVOB DC,,NOVO NORDISK A/S,Equities,Healthcare,Denmark,DKK,3.88121412,2805.0,533111.68,533111.68
GOOGL UW,,ALPHABET INC,Equities,Communication Services,United States,USD,3.83124933,2300.0,526248.67,526248.67
ADBE UW,,ADOBE INC,Equities,Information Technology,United States,USD,3.07249666,570.0,422028.73,422028.73
UNH UN,,UNITEDHEALTH GROUP INC,Equities,Healthcare,United States,USD,3.06888605,609.0,421532.79,421532.79
ACN UN,,ACCENTURE PLC,Equities,Information Technology,United States,USD,3.0389432,831.0,417419.93,417419.93
PG UN,,PROCTER & GAMBLE CO/THE,Equities,Consumer Staples,United States,USD,3.00003779,1744.0,412076.0,412076.0
CVX UN,,CHEVRON CORP,Equities,Energy,United States,USD,2.90200745,1632.0,398610.85,398610.85
CSCO UW,,CISCO SYSTEMS INC,Equities,Information Technology,United States,USD,2.71569003,5101.0,373018.86,373018.86
NOW UN,,SERVICENOW INC,Equities,Information Technology,United States,USD,2.12928864,254.0,292472.56,292472.56
NOVN SE,,NOVARTIS AG,Equities,Healthcare,Switzerland,CHF,1.91359625,1767.0,262845.72,262845.72
TSLA UW,,TESLA INC,Equities,Consumer Discretionary,United States,USD,1.69846794,897.0,233296.35,233296.35
AMAT UW,,APPLIED MATERIALS INC,Equities,Information Technology,United States,USD,1.59125041,707.0,218569.28,218569.28
AXP UN,,AMERICAN EXPRESS CO,Equities,Financials,United States,USD,1.41181636,581.0,193922.77,193922.77
PGR UN,,PROGRESSIVE CORP/THE,Equities,Financials,United States,USD,1.3290647,574.0,182556.25,182556.25
IBE SQ,,IBERDROLA SA,Equities,Utilities,Spain,EUR,1.21688782,8878.0,167147.98,167147.98
LRCX UW,,LAM RESEARCH CORP,Equities,Information Technology,United States,USD,1.1899702,113.0,163450.66,163450.66
SNPS UW,,SYNOPSYS INC,Equities,Information Technology,United States,USD,1.18609269,189.0,162918.06,162918.06
6861 JT,,KEYENCE CORP,Equities,Information Technology,Japan,JPY,1.14654048,230.0,157485.29,157485.29
CDNS UW,,CADENCE DESIGN SYSTEMS INC,Equities,Information Technology,United States,USD,1.14632657,338.0,157455.91,157455.91
CB UN,,CHUBB LTD,Equities,Financials,United States,USD,1.13042377,405.0,155271.55,155271.55
PANW UW,,PALO ALTO NETWORKS INC,Equities,Information Technology,United States,USD,1.10344549,376.0,151565.89,151565.89
8035 JT,,TOKYO ELECTRON LTD,Equities,Information Technology,Japan,JPY,1.09784992,381.0,150797.3,150797.3
MMC UN,,MARSH & MCLENNAN COS INC,Equities,Financials,United States,USD,1.07742441,485.0,147991.72,147991.72
FI UN,,FISERV INC,Equities,Financials,United States,USD,1.0216808,596.0,140334.94,140334.94
