Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"XOM","EXXON MOBIL CORP","Energy","Equity","871,249,086.20","3.24","871,249,086.20","7,227,284.00","120.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","835,811,359.26","3.11","835,811,359.26","1,968,514.00","424.59","United States","NASDAQ","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","829,872,842.20","3.09","829,872,842.20","5,145,860.00","161.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","798,766,087.68","2.97","798,766,087.68","4,024,416.00","198.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","764,925,217.35","2.85","764,925,217.35","4,540,963.00","168.45","United States","NASDAQ","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","688,888,021.44","2.56","688,888,021.44","4,544,416.00","151.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","648,712,919.40","2.42","648,712,919.40","3,820,453.00","169.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","614,859,859.00","2.29","614,859,859.00","460,190.00","1,336.10","United States","NASDAQ","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","547,134,442.92","2.04","547,134,442.92","3,506,373.00","156.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","504,411,587.68","1.88","504,411,587.68","3,985,553.00","126.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","503,850,140.95","1.88","503,850,140.95","1,391,659.00","362.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CME","CME GROUP INC CLASS A","Financials","Equity","462,173,845.00","1.72","462,173,845.00","2,172,380.00","212.75","United States","NASDAQ","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","457,373,030.94","1.70","457,373,030.94","2,697,093.00","169.58","United States","NASDAQ","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","453,815,631.77","1.69","453,815,631.77","7,656,751.00","59.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","440,679,825.00","1.64","440,679,825.00","11,751,462.00","37.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","423,680,544.00","1.58","423,680,544.00","929,124.00","456.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","393,009,543.36","1.46","393,009,543.36","8,146,964.00","48.24","United States","NASDAQ","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","370,768,572.48","1.38","370,768,572.48","1,953,264.00","189.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
