Ticker,SEDOL,Name,Asset Class,Sector,Country,Currency,Weight (%),Shares/Units (#),Market Value (AUD),Notional Value (AUD)
AVGO UW,,BROADCOM INC,Equities,Information Technology,United States,USD,6.29208237,28932.0,57938759.69,57938759.69
CSCO UW,,CISCO SYSTEMS INC,Equities,Information Technology,United States,USD,6.17758692,777890.0,56884462.53,56884462.53
CRWD UW,,CROWDSTRIKE HOLDINGS INC,Equities,Information Technology,United States,USD,5.92429851,116077.0,54552131.98,54552131.98
INFY UN,,INFOSYS LTD,Equities,Information Technology,India,USD,5.52327819,1885095.0,50859456.22,50859456.22
PANW UW,,PALO ALTO NETWORKS INC,Equities,Information Technology,United States,USD,5.30397768,121161.0,48840093.02,48840093.02
DARK LN,,DARKTRACE PLC,Equities,Information Technology,Britain,GBP,3.81206157,4167199.0,35102229.51,35102229.51
HO FP,,THALES SA,Equities,Industrials,France,EUR,3.58298031,126852.0,32992803.16,32992803.16
4704 JT,,TREND MICRO INC/JAPAN,Equities,Information Technology,Japan,JPY,3.2428822,379200.0,29861111.39,29861111.39
GEN UW,,GEN DIGITAL INC,Equities,Information Technology,United States,USD,3.18351716,875442.0,29314466.12,29314466.12
CHKP UW,,CHECK POINT SOFTWARE TECHNOLOG,Equities,Information Technology,Israel,USD,3.15039546,117275.0,29009474.84,29009474.84
FFIV UW,,F5 INC,Equities,Information Technology,United States,USD,3.12640182,100488.0,28788536.62,28788536.62
LDOS UN,,LEIDOS HOLDINGS INC,Equities,Industrials,United States,USD,3.12613955,147140.0,28786121.6,28786121.6
FTNT UW,,FORTINET INC,Equities,Information Technology,United States,USD,3.11087722,272222.0,28645583.01,28645583.01
BAH UN,,BOOZ ALLEN HAMILTON HOLDING CO,Equities,Industrials,United States,USD,3.07688706,127366.0,28332594.77,28332594.77
TENB UW,,TENABLE HOLDINGS INC,Equities,Information Technology,United States,USD,3.06357257,390641.0,28209992.26,28209992.26
CYBR UW,,CYBERARK SOFTWARE LTD,Equities,Information Technology,United States,USD,3.01929151,71327.0,27802243.32,27802243.32
OTEX CT,,OPEN TEXT CORP,Equities,Information Technology,Canada,CAD,3.01445148,488931.0,27757675.38,27757675.38
AKAM UW,,AKAMAI TECHNOLOGIES INC,Equities,Information Technology,United States,USD,2.96745557,169611.0,27324927.63,27324927.63
QLYS UW,,QUALYS INC,Equities,Information Technology,United States,USD,2.96111943,109469.0,27266583.11,27266583.11
NET UN,,CLOUDFLARE INC,Equities,Information Technology,United States,USD,2.93876992,190920.0,27060784.31,27060784.31
OKTA UW,,OKTA INC,Equities,Information Technology,United States,USD,2.87741658,175333.0,26495830.46,26495830.46
SAIC UW,,SCIENCE APPLICATIONS INTERNATI,Equities,Industrials,United States,USD,2.87271073,134418.0,26452498.04,26452498.04
VRNS UW,,VARONIS SYSTEMS INC,Equities,Information Technology,United States,USD,2.85668084,370340.0,26304891.62,26304891.62
RPD UQ,,RAPID7 INC,Equities,Information Technology,United States,USD,2.54248958,321155.0,23411755.28,23411755.28
BB UN,,BLACKBERRY LTD,Equities,Information Technology,Canada,USD,2.47560013,5207421.0,22795823.8,22795823.8
S UN,,SENTINELONE INC,Equities,Information Technology,United States,USD,2.40986718,667848.0,22190541.54,22190541.54
ZS UW,,ZSCALER INC,Equities,Information Technology,United States,USD,2.33593614,77750.0,21509769.72,21509769.72
NTCT UW,,NETSCOUT SYSTEMS INC,Equities,Information Technology,United States,USD,2.24415118,658365.0,20664595.3,20664595.3
ATEN UN,,A10 NETWORKS INC,Equities,Information Technology,United States,USD,1.43462511,646176.0,13210316.46,13210316.46
RDWR UW,,RADWARE LTD,Equities,Information Technology,Israel,USD,1.1126571,369751.0,10245570.35,10245570.35
AUD,,AUD - AUSTRALIA DOLLAR,Cash,,,AUD,0.15213593,1400898.21,1400898.21,1400898.21
USD,,USD - UNITED STATES DOLLAR,Cash,,,USD,0.052385680000000004,317356.42,482377.9,482377.9
JPY,,JPY - JAPANESE YEN,Cash,,,JPY,0.03422183,31433054.77,315121.5,315121.5
GBP,,GBP - BRITISH POUND,Cash,,,GBP,0.00100902,4836.77,9291.3,9291.3
CAD,,CAD - CANADA DOLLAR,Cash,,,CAD,9.403e-05,774.18,865.88,865.88
EUR,,EUR - EURO,Cash,,,EUR,-7.56e-06,-42.29,-69.66,-69.66
