Ticker,Name,Asset Class,Sector,Country,Currency,Weight (%),Shares/Units (#),Market Value (AUD),Notional Value (AUD)
MSFT UW,MICROSOFT CORP,Equities,Information Technology,United States,USD,4.948352835300001,69938.0,44539573.6,44539573.6
AAPL UW,APPLE INC,Equities,Information Technology,United States,USD,4.577708397,141229.0,41203444.22,41203444.22
NVDA UW,NVIDIA CORP,Equities,Information Technology,United States,USD,4.5650586044,22637.0,41089584.85,41089584.85
AMZN UW,AMAZON.COM INC,Equities,Consumer Discretionary,United States,USD,2.6478158222,85875.0,23832695.77,23832695.77
META UW,META PLATFORMS INC,Equities,Communication Services,United States,USD,1.7289851027,21010.0,15562402.64,15562402.64
GOOGL UW,ALPHABET INC,Equities,Communication Services,United States,USD,1.6551668917,56193.0,14897973.13,14897973.13
GOOG UW,ALPHABET INC,Equities,Communication Services,United States,USD,1.4053403133,47278.0,12649311.88,12649311.88
LLY UN,ELI LILLY & CO,Equities,Healthcare,United States,USD,1.12643556,8072.0,10138921.21,10138921.21
AVGO UW,BROADCOM INC,Equities,Information Technology,United States,USD,1.0236290193,4383.0,9213570.97,9213570.97
JPM UN,JPMORGAN CHASE & CO,Equities,Financials,United States,USD,0.9042118545,27552.0,8138710.35,8138710.35
BRK/B UN,BERKSHIRE HATHAWAY INC,Equities,Financials,United States,USD,0.8416188426000001,12284.0,7575317.61,7575317.61
XOM UN,EXXON MOBIL CORP,Equities,Energy,United States,USD,0.822522522,43302.0,7403433.75,7403433.75
TSLA UW,TESLA INC,Equities,Consumer Discretionary,United States,USD,0.7779843128,26233.0,7002550.29,7002550.29
UNH UN,UNITEDHEALTH GROUP INC,Equities,Healthcare,United States,USD,0.7404165823,8851.0,6664407.32,6664407.32
NOVOB DC,NOVO NORDISK A/S,Equities,Healthcare,Denmark,DKK,0.7175768908,30306.0,6458829.8,6458829.8
V UN,VISA INC,Equities,Financials,United States,USD,0.6933858167,15017.0,6241088.63,6241088.63
ASML NA,ASML HOLDING NV,Equities,Information Technology,Netherlands,EUR,0.6541549345,3764.0,5887975.82,5887975.82
PG UN,PROCTER & GAMBLE CO/THE,Equities,Consumer Staples,United States,USD,0.6288992991,22398.0,5660652.66,5660652.66
MA UN,MASTERCARD INC,Equities,Financials,United States,USD,0.5964460284,7976.0,5368544.37,5368544.37
COST UW,COSTCO WHOLESALE CORP,Equities,Consumer Staples,United States,USD,0.5935001847,4226.0,5342029.16,5342029.16
JNJ UN,JOHNSON & JOHNSON,Equities,Healthcare,United States,USD,0.5568115553,22817.0,5011798.89,5011798.89
HD UN,HOME DEPOT INC/THE,Equities,Consumer Discretionary,United States,USD,0.5289329136,9585.0,4760866.34,4760866.34
MRK UN,MERCK & CO INC,Equities,Healthcare,United States,USD,0.5255394394,24159.0,4730322.05,4730322.05
ABBV UN,ABBVIE INC,Equities,Healthcare,United States,USD,0.47196849719999995,16799.0,4248135.96,4248135.96
NESN SE,NESTLE SA,Equities,Consumer Staples,United States,CHF,0.4669914665,25338.0,4203338.26,4203338.26
WMT UN,WALMART INC,Equities,Consumer Staples,United States,USD,0.4568555982,40821.0,4112106.44,4112106.44
BAC UN,BANK OF AMERICA CORP,Equities,Financials,United States,USD,0.4354235297,65807.0,3919198.77,3919198.77
NFLX UW,NETFLIX INC,Equities,Communication Services,United States,USD,0.4353736396,4028.0,3918749.71,3918749.71
AMD UW,ADVANCED MICRO DEVICES INC,Equities,Information Technology,United States,USD,0.4254007204,15304.0,3828984.58,3828984.58
CVX UN,CHEVRON CORP,Equities,Energy,United States,USD,0.4231165859,16281.0,3808425.34,3808425.34
KO UN,COCA-COLA CO/THE,Equities,Consumer Staples,United States,USD,0.3916790081,36634.0,3525459.2,3525459.2
AZN LN,ASTRAZENECA PLC,Equities,Healthcare,Britain,GBP,0.3820459268,14236.0,3438752.9,3438752.9
7203 JT,TOYOTA MOTOR CORP,Equities,Consumer Discretionary,Japan,JPY,0.3806148211,108577.0,3425871.68,3425871.68
PEP UW,PEPSICO INC,Equities,Consumer Staples,United States,USD,0.3780960744,13098.0,3403200.72,3403200.72
QCOM UW,QUALCOMM INC,Equities,Information Technology,United States,USD,0.37119795910000003,10634.0,3341111.55,3341111.55
CRM UN,SALESFORCE INC,Equities,Information Technology,United States,USD,0.3628457353,8968.0,3265934.11,3265934.11
SHEL LN,SHELL PLC,Equities,Energy,Netherlands,GBP,0.3546624271,60802.0,3192277.07,3192277.07
TMO UN,THERMO FISHER SCIENTIFIC INC,Equities,Healthcare,United States,USD,0.35360620369999995,3659.0,3182770.12,3182770.12
MC FP,LVMH MOET HENNESSY LOUIS VUITT,Equities,Consumer Discretionary,France,EUR,0.343734157,2483.0,3093912.92,3093912.92
LIN UW,LINDE PLC,Equities,Materials,United States,USD,0.3369572561,4660.0,3032914.79,3032914.79
ADBE UW,ADOBE INC,Equities,Information Technology,United States,USD,0.33115205049999996,4337.0,2980662.78,2980662.78
WFC UN,WELLS FARGO & CO,Equities,Financials,United States,USD,0.32708896870000004,33995.0,2944091.43,2944091.43
NOVN SE,NOVARTIS AG,Equities,Healthcare,Switzerland,CHF,0.31966412050000004,17956.0,2877261.2,2877261.2
SAP GY,SAP SE,Equities,Information Technology,Germany,EUR,0.3148961365,9762.0,2834345.11,2834345.11
