Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"CBA","COMMONWEALTH BANK OF AUSTRALIA","Financials","Equity","22,364,362.80","11.15","22,364,362.80","188,968.00","118.35","Australia","ASX - All Markets","AUD","1.00","AUD"
"CSL","CSL LTD","Health Care","Equity","19,462,794.00","9.70","19,462,794.00","69,017.00","282.00","Australia","ASX - All Markets","AUD","1.00","AUD"
"WES","WESFARMERS LTD","Consumer Discretionary","Equity","14,665,329.63","7.31","14,665,329.63","220,101.00","66.63","Australia","ASX - All Markets","AUD","1.00","AUD"
"MQG","MACQUARIE GROUP LTD DEF","Financials","Equity","13,962,167.00","6.96","13,962,167.00","70,964.00","196.75","Australia","ASX - All Markets","AUD","1.00","AUD"
"GMG","GOODMAN GROUP UNITS","Real Estate","Equity","10,836,377.64","5.40","10,836,377.64","331,692.00","32.67","Australia","ASX - All Markets","AUD","1.00","AUD"
"FMG","FORTESCUE LTD","Materials","Equity","8,199,143.85","4.09","8,199,143.85","328,623.00","24.95","Australia","ASX - All Markets","AUD","1.00","AUD"
"TCL","TRANSURBAN GROUP STAPLED UNITS","Industrials","Equity","7,964,896.35","3.97","7,964,896.35","599,315.00","13.29","Australia","ASX - All Markets","AUD","1.00","AUD"
"QBE","QBE INSURANCE GROUP LTD","Financials","Equity","5,255,847.32","2.62","5,255,847.32","289,738.00","18.14","Australia","ASX - All Markets","AUD","1.00","AUD"
"JHX","JAMES HARDIE INDUSTRIES CDI PLC","Materials","Equity","5,098,917.30","2.54","5,098,917.30","85,409.00","59.70","Australia","ASX - All Markets","AUD","1.00","AUD"
"COH","COCHLEAR LTD","Health Care","Equity","4,239,261.72","2.11","4,239,261.72","12,708.00","333.59","Australia","ASX - All Markets","AUD","1.00","AUD"
"BXB","BRAMBLES LTD","Industrials","Equity","4,229,108.28","2.11","4,229,108.28","270,058.00","15.66","Australia","ASX - All Markets","AUD","1.00","AUD"
"SUN","SUNCORP GROUP LTD","Financials","Equity","4,036,801.86","2.01","4,036,801.86","246,447.00","16.38","Australia","ASX - All Markets","AUD","1.00","AUD"
"XRO","XERO LTD","Information Technology","Equity","3,496,670.10","1.74","3,496,670.10","27,951.00","125.10","Australia","ASX - All Markets","AUD","1.00","AUD"
"NST","NORTHERN STAR RESOURCES LTD","Materials","Equity","3,298,273.53","1.64","3,298,273.53","223,007.00","14.79","Australia","ASX - All Markets","AUD","1.00","AUD"
"SCG","SCENTRE GROUP","Real Estate","Equity","3,289,758.00","1.64","3,289,758.00","1,002,975.00","3.28","Australia","ASX - All Markets","AUD","1.00","AUD"
"TLS","TELSTRA GROUP LTD","Communication","Equity","3,010,897.92","1.50","3,010,897.92","784,088.00","3.84","Australia","ASX - All Markets","AUD","1.00","AUD"
"IAG","INSURANCE AUSTRALIA GROUP LTD","Financials","Equity","2,977,080.26","1.48","2,977,080.26","466,627.00","6.38","Australia","ASX - All Markets","AUD","1.00","AUD"
"CPU","COMPUTERSHARE LTD","Industrials","Equity","2,799,227.56","1.40","2,799,227.56","104,332.00","26.83","Australia","ASX - All Markets","AUD","1.00","AUD"
"SHL","SONIC HEALTHCARE LTD","Health Care","Equity","2,544,518.55","1.27","2,544,518.55","87,591.00","29.05","Australia","ASX - All Markets","AUD","1.00","AUD"
"MIN","MINERAL RESOURCES LTD","Materials","Equity","2,422,261.02","1.21","2,422,261.02","34,054.00","71.13","Australia","ASX - All Markets","AUD","1.00","AUD"
"ASX","ASX LTD","Financials","Equity","2,420,123.40","1.21","2,420,123.40","37,638.00","64.30","Australia","ASX - All Markets","AUD","1.00","AUD"
"SGP","STOCKLAND STAPLED UNITS LTD","Real Estate","Equity","2,189,966.72","1.09","2,189,966.72","463,976.00","4.72","Australia","ASX - All Markets","AUD","1.00","AUD"
"PLS","PILBARA MINERALS LTD","Materials","Equity","2,118,170.90","1.06","2,118,170.90","554,495.00","3.82","Australia","ASX - All Markets","AUD","1.00","AUD"
"APA","APA GROUP UNITS","Utilities","Equity","2,109,120.16","1.05","2,109,120.16","248,717.00","8.48","Australia","ASX - All Markets","AUD","1.00","AUD"
"BSL","BLUESCOPE STEEL LTD","Materials","Equity","2,035,452.50","1.01","2,035,452.50","86,615.00","23.50","Australia","ASX - All Markets","AUD","1.00","AUD"
"RHC","RAMSAY HEALTH CARE LTD","Health Care","Equity","1,931,659.80","0.96","1,931,659.80","35,745.00","54.04","Australia","ASX - All Markets","AUD","1.00","AUD"
"ALD","AMPOL LTD","Energy","Equity","1,890,737.47","0.94","1,890,737.47","46,217.00","40.91","Australia","ASX - All Markets","AUD","1.00","AUD"
"REA","REA GROUP LTD","Communication","Equity","1,864,077.75","0.93","1,864,077.75","10,245.00","181.95","Australia","ASX - All Markets","AUD","1.00","AUD"
"MGR","MIRVAC GROUP STAPLED UNITS","Real Estate","Equity","1,802,165.65","0.90","1,802,165.65","766,879.00","2.35","Australia","ASX - All Markets","AUD","1.00","AUD"
"NXT","NEXTDC LTD","Information Technology","Equity","1,720,691.55","0.86","1,720,691.55","100,215.00","17.17","Australia","ASX - All Markets","AUD","1.00","AUD"
"ORI","ORICA LTD","Materials","Equity","1,693,270.50","0.84","1,693,270.50","93,810.00","18.05","Australia","ASX - All Markets","AUD","1.00","AUD"
"GPT","GPT GROUP STAPLED UNITS","Real Estate","Equity","1,632,667.34","0.81","1,632,667.34","371,906.00","4.39","Australia","ASX - All Markets","AUD","1.00","AUD"
"DXS","DEXUS STAPLED UNITS","Real Estate","Equity","1,594,425.84","0.79","1,594,425.84","208,968.00","7.63","Australia","ASX - All Markets","AUD","1.00","AUD"
"ALU","ALTIUM LTD","Information Technology","Equity","1,508,338.26","0.75","1,508,338.26","23,166.00","65.11","Australia","ASX - All Markets","AUD","1.00","AUD"
