Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"MSFT","MICROSOFT CORP","Information Technology","Equity","31,980,450,840.88","7.17","31,980,450,840.88","76,530,226.00","417.88","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","25,238,971,870.84","5.66","25,238,971,870.84","149,502,262.00","168.82","United States","NASDAQ","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","21,854,020,673.70","4.90","21,854,020,673.70","25,439,754.00","859.05","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","16,946,578,980.00","3.80","16,946,578,980.00","94,147,661.00","180.00","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","11,577,330,710.24","2.60","11,577,330,710.24","22,659,772.00","510.92","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","9,136,479,164.12","2.05","9,136,479,164.12","60,695,404.00","150.53","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","7,782,867,543.36","1.75","7,782,867,543.36","18,739,448.00","415.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","7,720,942,016.20","1.73","7,720,942,016.20","50,815,730.00","151.94","United States","NASDAQ","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","6,308,421,538.80","1.41","6,308,421,538.80","8,213,235.00","768.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","5,971,397,475.00","1.34","5,971,397,475.00","4,532,370.00","1,317.50","United States","NASDAQ","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","5,825,708,051.80","1.31","5,825,708,051.80","29,776,172.00","195.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","4,896,509,450.16","1.10","4,896,509,450.16","40,899,678.00","119.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","4,883,055,560.53","1.10","4,883,055,560.53","28,537,523.00","171.11","United States","NASDAQ","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","4,463,455,890.00","1.00","4,463,455,890.00","16,289,985.00","274.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","4,338,204,892.80","0.97","4,338,204,892.80","9,526,560.00","455.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Financials","Equity","3,991,813,263.06","0.90","3,991,813,263.06","8,497,378.00","469.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","3,781,077,527.50","0.85","3,781,077,527.50","24,793,951.00","152.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","3,767,372,099.70","0.84","3,767,372,099.70","24,235,266.00","155.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","3,666,410,643.44","0.82","3,666,410,643.44","10,250,533.00","357.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","3,331,880,936.02","0.75","3,331,880,936.02","26,099,647.00","127.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","3,221,393,234.40","0.72","3,221,393,234.40","4,570,130.00","704.88","United States","NASDAQ","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","3,053,141,787.30","0.68","3,053,141,787.30","18,184,287.00","167.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRM","SALESFORCE INC","Information Technology","Equity","2,932,534,914.54","0.66","2,932,534,914.54","9,969,861.00","294.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","2,870,623,847.71","0.64","2,870,623,847.71","17,864,359.00","160.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","2,759,741,367.53","0.62","2,759,741,367.53","16,641,991.00","165.83","United States","NASDAQ","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","2,750,878,098.68","0.62","2,750,878,098.68","4,457,462.00","617.14","United States","NASDAQ","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","2,623,282,172.00","0.59","2,623,282,172.00","44,088,776.00","59.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","2,618,081,636.04","0.59","2,618,081,636.04","70,912,287.00","36.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","2,401,553,354.85","0.54","2,401,553,354.85","14,155,929.00","169.65","United States","NASDAQ","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","2,376,521,150.60","0.53","2,376,521,150.60","40,076,242.00","59.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","2,283,723,339.90","0.51","2,283,723,339.90","4,994,365.00","457.26","United States","NASDAQ","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","2,270,718,529.38","0.51","2,270,718,529.38","3,979,458.00","570.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
