Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"MSFT","MICROSOFT CORP","Information Technology","Equity","82,640,853.01","9.51","82,640,853.01","130,879.00","631.43","United States","NASDAQ","AUD","0.66","USD"
"NVDA","NVIDIA CORP","Information Technology","Equity","59,431,254.53","6.84","59,431,254.53","45,785.00","1,298.05","United States","NASDAQ","AUD","0.66","USD"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","24,951,632.62","2.87","24,951,632.62","109,699.00","227.46","United States","NASDAQ","AUD","0.66","USD"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","21,927,527.14","2.52","21,927,527.14","95,509.00","229.59","United States","NASDAQ","AUD","0.66","USD"
"LLY","ELI LILLY","Health Care","Equity","17,358,979.39","2.00","17,358,979.39","14,957.00","1,160.59","United States","New York Stock Exchange Inc.","AUD","0.66","USD"
"TSLA","TESLA INC","Consumer Discretionary","Equity","13,711,811.17","1.58","13,711,811.17","53,033.00","258.55","United States","NASDAQ","AUD","0.66","USD"
"V","VISA INC CLASS A","Financials","Equity","12,147,416.14","1.40","12,147,416.14","29,340.00","414.02","United States","New York Stock Exchange Inc.","AUD","0.66","USD"
"NOVO B","NOVO NORDISK CLASS B","Health Care","Equity","11,410,883.94","1.31","11,410,883.94","60,226.00","189.47","Denmark","Omx Nordic Exchange Copenhagen A/S","AUD","4.54","DKK"
"ASML","ASML HOLDING NV","Information Technology","Equity","11,060,817.34","1.27","11,060,817.34","7,473.00","1,480.11","Netherlands","Euronext Amsterdam","AUD","0.61","EUR"
"MA","MASTERCARD INC CLASS A","Financials","Equity","11,018,086.94","1.27","11,018,086.94","15,522.00","709.84","United States","New York Stock Exchange Inc.","AUD","0.66","USD"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","10,261,860.99","1.18","10,261,860.99","43,688.00","234.89","United States","New York Stock Exchange Inc.","AUD","0.66","USD"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","9,971,046.12","1.15","9,971,046.12","18,449.00","540.47","United States","New York Stock Exchange Inc.","AUD","0.66","USD"
"ABBV","ABBVIE INC","Health Care","Equity","8,302,906.17","0.96","8,302,906.17","32,727.00","253.70","United States","New York Stock Exchange Inc.","AUD","0.66","USD"
"CRM","SALESFORCE INC","Information Technology","Equity","7,974,847.42","0.92","7,974,847.42","17,943.00","444.45","United States","New York Stock Exchange Inc.","AUD","0.66","USD"
