Ticker,Name,Asset Class,Sector,Country,Currency,Weight (%),Shares/Units (#),Market Value (AUD),Notional Value (AUD)
MSFT UW,MICROSOFT CORP,Equities,Information Technology,United States,USD,8.45867767,627429.0,399574196.04,399574196.04
NVDA UW,NVIDIA CORP,Equities,Information Technology,United States,USD,8.11166996,211102.0,383182115.15,383182115.15
AAPL UW,APPLE INC,Equities,Information Technology,United States,USD,8.05310374,1303913.0,380415541.91,380415541.91
AMZN UW,AMAZON.COM INC,Equities,Consumer Discretionary,United States,USD,5.15308735,877114.0,243423477.35,243423477.35
META UW,META PLATFORMS INC,Equities,Communication Services,United States,USD,4.63420077,295542.0,218912118.09,218912118.09
AVGO UW,BROADCOM INC,Equities,Information Technology,United States,USD,4.49772001,101072.0,212464988.66,212464988.66
GOOGL UW,ALPHABET INC,Equities,Communication Services,United States,USD,2.79277849,497607.0,131926320.3,131926320.3
GOOG UW,ALPHABET INC,Equities,Communication Services,United States,USD,2.71220376,478861.0,128120101.04,128120101.04
COST UW,COSTCO WHOLESALE CORP,Equities,Consumer Staples,United States,USD,2.58972685,96777.0,122334490.37,122334490.37
TSLA UW,TESLA INC,Equities,Consumer Discretionary,United States,USD,2.30021561,407057.0,108658449.71,108658449.71
NFLX UW,NETFLIX INC,Equities,Communication Services,United States,USD,1.94388553,94386.0,91825995.68,91825995.68
AMD UW,ADVANCED MICRO DEVICES INC,Equities,Information Technology,United States,USD,1.86645334,352398.0,88168224.48,88168224.48
PEP UW,PEPSICO INC,Equities,Consumer Staples,United States,USD,1.64876914,299759.0,77885176.72,77885176.72
QCOM UW,QUALCOMM INC,Equities,Information Technology,United States,USD,1.61886642,243395.0,76472620.46,76472620.46
TMUS UW,T-MOBILE US INC,Equities,Communication Services,United States,USD,1.47776413,258850.0,69807177.47,69807177.47
LIN UW,LINDE PLC,Equities,Materials,United States,USD,1.44708053,105030.0,68357734.02,68357734.02
ADBE UW,ADOBE INC,Equities,Information Technology,United States,USD,1.43416677,98576.0,67747709.09,67747709.09
CSCO UW,CISCO SYSTEMS INC,Equities,Information Technology,United States,USD,1.29652938,883118.0,61245942.3,61245942.3
AMAT UW,APPLIED MATERIALS INC,Equities,Information Technology,United States,USD,1.27614464,181216.0,60283000.3,60283000.3
TXN UW,TEXAS INSTRUMENTS INC,Equities,Information Technology,United States,USD,1.23590481,198316.0,58382135.97,58382135.97
AMGN UW,AMGEN INC,Equities,Healthcare,United States,USD,1.13464804,116880.0,53598930.69,53598930.69
INTU UW,INTUIT INC,Equities,Information Technology,United States,USD,1.11045259,61062.0,52455977.05,52455977.05
CMCSA UW,COMCAST CORP,Equities,Communication Services,United States,USD,1.07224217,864191.0,50650978.65,50650978.65
ISRG UW,INTUITIVE SURGICAL INC,Equities,Healthcare,United States,USD,1.02034699,76838.0,48199534.5,48199534.5
MU UW,MICRON TECHNOLOGY INC,Equities,Information Technology,United States,USD,0.99449593,240761.0,46978372.74,46978372.74
HON UW,HONEYWELL INTERNATIONAL INC,Equities,Industrials,United States,USD,0.94156686,142236.0,44478089.11,44478089.11
BKNG UW,BOOKING HOLDINGS INC,Equities,Consumer Discretionary,United States,USD,0.90190529,7454.0,42604541.31,42604541.31
INTC UW,INTEL CORP,Equities,Information Technology,United States,USD,0.89080687,922114.0,42080269.85,42080269.85
LRCX UW,LAM RESEARCH CORP,Equities,Information Technology,United States,USD,0.87357367,28589.0,41266201.49,41266201.49
VRTX UW,VERTEX PHARMACEUTICALS INC,Equities,Healthcare,United States,USD,0.86867481,56338.0,41034787.19,41034787.19
ADI UW,ANALOG DEVICES INC,Equities,Information Technology,United States,USD,0.8154124,108153.0,38518757.47,38518757.47
REGN UW,REGENERON PHARMACEUTICALS INC,Equities,Healthcare,United States,USD,0.74821437,23542.0,35344431.71,35344431.71
KLAC UW,KLA CORP,Equities,Information Technology,United States,USD,0.72986253,29493.0,34477520.52,34477520.52
ADP UW,AUTOMATIC DATA PROCESSING INC,Equities,Industrials,United States,USD,0.70549439,89589.0,33326409.14,33326409.14
PDD UW,PDD HOLDINGS INC,Equities,Consumer Discretionary,United States,USD,0.66539146,145676.0,31432011.82,31432011.82
PANW UW,PALO ALTO NETWORKS INC,Equities,Information Technology,United States,USD,0.66226682,70470.0,31284409.09,31284409.09
SBUX UW,STARBUCKS CORP,Equities,Consumer Discretionary,United States,USD,0.63887084,246931.0,30179220.78,30179220.78
MDLZ UW,MONDELEZ INTERNATIONAL INC,Equities,Consumer Staples,United States,USD,0.635924,293660.0,30040017.1,30040017.1
ASML UW,ASML HOLDING NV,Equities,Information Technology,United States,USD,0.62967864,18837.0,29744996.35,29744996.35
SNPS UW,SYNOPSYS INC,Equities,Information Technology,United States,USD,0.60637757,33274.0,28644291.78,28644291.78
MELI UW,MERCADOLIBRE INC,Equities,Consumer Discretionary,United States,USD,0.56917379,11056.0,26886845.24,26886845.24
CDNS UW,CADENCE DESIGN SYSTEMS INC,Equities,Information Technology,United States,USD,0.55761119,59372.0,26340646.98,26340646.98
GILD UW,GILEAD SCIENCES INC,Equities,Healthcare,United States,USD,0.55092017,271699.0,26024574.18,26024574.18
CRWD UW,CROWDSTRIKE HOLDINGS INC,Equities,Information Technology,United States,USD,0.53684122,49648.0,25359507.23,25359507.23
PYPL UW,PAYPAL HOLDINGS INC,Equities,Financials,United States,USD,0.49748818,233743.0,23500533.84,23500533.84
NXPI UW,NXP SEMICONDUCTORS NV,Equities,Information Technology,United States,USD,0.48314466,55931.0,22822969.26,22822969.26
CTAS UW,CINTAS CORP,Equities,Industrials,United States,USD,0.47897005,22110.0,22625767.33,22625767.33
MAR UW,MARRIOTT INTERNATIONAL INC/MD,Equities,Consumer Discretionary,United States,USD,0.46525222,63140.0,21977759.08,21977759.08
CSX UW,CSX CORP,Equities,Industrials,United States,USD,0.44764485,427279.0,21146015.92,21146015.92
ABNB UW,AIRBNB INC,Equities,Consumer Discretionary,United States,USD,0.44604499,95548.0,21070441.04,21070441.04
CEG UW,CONSTELLATION ENERGY CORP,Equities,Utilities,United States,USD,0.44436872,69066.0,20991256.53,20991256.53
MRNA UW,MODERNA INC,Equities,Healthcare,United States,USD,0.40934333,83327.0,19336714.12,19336714.12
ROP UW,ROPER TECHNOLOGIES INC,Equities,Information Technology,United States,USD,0.40796665,23342.0,19271681.85,19271681.85
MRVL UW,MARVELL TECHNOLOGY INC,Equities,Information Technology,United States,USD,0.40775525,188544.0,19261695.77,19261695.77
ORLY UW,O'REILLY AUTOMOTIVE INC,Equities,Consumer Discretionary,United States,USD,0.40177726,12878.0,18979305.07,18979305.07
PCAR UW,PACCAR INC,Equities,Industrials,United States,USD,0.39586171,114256.0,18699864.39,18699864.39
MNST UW,MONSTER BEVERAGE CORP,Equities,Consumer Staples,United States,USD,0.37803721,226960.0,17857863.79,17857863.79
CPRT UW,COPART INC,Equities,Industrials,United States,USD,0.35606365,209690.0,16819868.44,16819868.44
MCHP UW,MICROCHIP TECHNOLOGY INC,Equities,Information Technology,United States,USD,0.34942363,117856.0,16506204.86,16506204.86
ROST UW,ROSS STORES INC,Equities,Consumer Discretionary,United States,USD,0.3361185,73424.0,15877692.17,15877692.17
KDP UW,KEURIG DR PEPPER INC,Equities,Consumer Staples,United States,USD,0.33166054,302628.0,15667105.13,15667105.13
AZN UW,ASTRAZENECA PLC,Equities,Healthcare,United States,USD,0.32599882,127000.0,15399654.97,15399654.97
AEP UW,AMERICAN ELECTRIC POWER CO INC,Equities,Utilities,United States,USD,0.32325861,114759.0,15270211.97,15270211.97
ADSK UW,AUTODESK INC,Equities,Information Technology,United States,USD,0.31983126,46654.0,15108309.3,15108309.3
FTNT UW,FORTINET INC,Equities,Information Technology,United States,USD,0.31577135,166416.0,14916525.65,14916525.65
WDAY UW,WORKDAY INC,Equities,Information Technology,United States,USD,0.31117102,45585.0,14699213.55,14699213.55
DXCM UW,DEXCOM INC,Equities,Healthcare,United States,USD,0.30785136,84076.0,14542398.44,14542398.44
PAYX UW,PAYCHEX INC,Equities,Industrials,United States,USD,0.30481196,78784.0,14398821.96,14398821.96
TTD UQ,TRADE DESK INC/THE,Equities,Communication Services,United States,USD,0.29956609,97058.0,14151015.63,14151015.63
DASH UW,DOORDASH INC,Equities,Consumer Discretionary,United States,USD,0.29766273,82170.0,14061103.96,14061103.96
KHC UW,KRAFT HEINZ CO/THE,Equities,Consumer Staples,United States,USD,0.29046216,264576.0,13720960.58,13720960.58
