Ticker,SEDOL,Name,Asset Class,Sector,Country,Currency,Weight (%),Shares/Units (#),Market Value (AUD),Notional Value (AUD)
GOOG UW,,ALPHABET INC,Equities,Communication Services,United States,USD,2.30304822,50111.0,11572982.73,11572982.73
MSFT UW,,MICROSOFT CORP,Equities,Information Technology,United States,USD,2.09370094,16564.0,10520997.6,10520997.6
KO UN,,COCA-COLA CO/THE,Equities,Consumer Staples,United States,USD,2.04511782,114016.0,10276863.96,10276863.96
META UW,,META PLATFORMS INC,Equities,Communication Services,United States,USD,2.04476505,13231.0,10275091.23,10275091.23
NOW UN,,SERVICENOW INC,Equities,Information Technology,United States,USD,2.02196969,8824.0,10160542.94,10160542.94
V UN,,VISA INC,Equities,Financials,United States,USD,2.01853617,24355.0,10143289.25,10143289.25
CSCO UW,,CISCO SYSTEMS INC,Equities,Information Technology,United States,USD,2.01681049,138590.0,10134617.57,10134617.57
HON UW,,HONEYWELL INTERNATIONAL INC,Equities,Industrials,United States,USD,1.98357134,33449.0,9967588.46,9967588.46
TXN UW,,TEXAS INSTRUMENTS INC,Equities,Information Technology,United States,USD,1.97113123,38667.0,9905076.01,9905076.01
JNJ UN,,JOHNSON & JOHNSON,Equities,Healthcare,United States,USD,1.96774208,42658.0,9888045.3,9888045.3
INTU UW,,INTUIT INC,Equities,Information Technology,United States,USD,1.96137618,10437.0,9856056.18,9856056.18
AMAT UW,,APPLIED MATERIALS INC,Equities,Information Technology,United States,USD,1.96100016,31875.0,9854166.67,9854166.67
UNH UN,,UNITEDHEALTH GROUP INC,Equities,Healthcare,United States,USD,1.94976229,14155.0,9797695.55,9797695.55
ASML NA,,ASML HOLDING NV,Equities,Information Technology,Netherlands,EUR,1.91975838,6498.0,9646923.74,9646923.74
NVDA UW,,NVIDIA CORP,Equities,Information Technology,United States,USD,1.90025488,7313.0,9548917.24,9548917.24
NOVOB DC,,NOVO NORDISK A/S,Equities,Healthcare,Denmark,DKK,1.89086683,49994.0,9501741.66,9501741.66
OR FP,,L'OREAL SA,Equities,Consumer Staples,France,EUR,1.87614195,13613.0,9427748.06,9427748.06
