Number,Security name,Ticker,Shares,Market Value,% of Net Assets
1,Nvidia Corp,NVDA US,"310,276","$402,754,128.10",7.43%
2,Microsoft Corp,MSFT US,"414,393","$261,660,020.44",4.82%
3,Meta Platforms Inc,META US,"336,223","$259,569,521.62",4.79%
4,Apple Inc,AAPL US,"816,964","$208,401,187.72",3.84%
5,Eli Lilly & Co,LLY US,"155,199","$180,122,824.97",3.32%
6,Novo Nordisk A/S,NOVOB DC,"755,866","$143,212,265.91",2.64%
7,Broadcom Inc,AVGO US,"71,581","$142,502,262.44",2.63%
8,Visa Inc,V US,"337,047","$139,545,039.54",2.57%
9,Alphabet Inc,GOOGL US,"607,135","$138,096,192.83",2.55%
10,Asml Holding Nv,ASML NA,"90,687","$134,226,308.46",2.48%
11,Alphabet Inc,GOOG US,"534,263","$122,659,331.91",2.26%
12,Unitedhealth Group Inc,UNH US,"145,615","$100,196,705.41",1.85%
13,Mastercard Inc,MA US,"138,108","$98,034,172.94",1.81%
14,Johnson & Johnson,JNJ US,"412,777","$95,117,123.57",1.75%
15,Procter & Gamble Co/The,PG US,"340,204","$79,910,438.96",1.47%
16,Costco Wholesale Corp,COST US,"72,941","$77,689,133.15",1.43%
17,Nestle Sa,NESN SW,"403,494","$63,873,772.84",1.18%
18,Coca-Cola Co/The,KO US,"689,103","$61,746,480.52",1.14%
19,Adobe Inc,ADBE US,"82,500","$60,723,160.61",1.12%
20,Accenture Plc,ACN US,"120,244","$60,043,891.25",1.11%
21,Pepsico Inc,PEP US,"222,006","$56,910,440.91",1.05%
22,Lvmh Moet Hennessy Louis Vuitton Se,MC FP,"41,778","$56,216,893.74",1.04%
23,Roche Holding Ag,ROG SW,"148,768","$55,881,462.52",1.03%
24,Cisco Systems Inc,CSCO US,"744,558","$54,126,166.05",1.00%
25,Qualcomm Inc,QCOM US,"208,851","$53,572,917.73",0.99%
26,Astrazeneca Plc,AZN LN,"255,433","$52,495,045.49",0.97%
27,Applied Materials Inc,AMAT US,"167,463","$51,466,168.52",0.95%
28,Texas Instruments Inc,TXN US,"196,305","$49,989,864.16",0.92%
29,Caterpillar Inc,CAT US,"80,278","$44,856,468.71",0.83%
30,Novartis Ag,NOVN SW,"303,229","$44,689,450.75",0.82%
31,Lam Research Corp,LRCX US,"28,663","$41,215,743.89",0.76%
32,Pfizer Inc,PFE US,"843,760","$33,977,351.32",0.63%
33,Tokyo Electron Ltd,8035 JP,"85,438","$33,605,953.52",0.62%
34,Conocophillips,COP US,"163,465","$32,542,339.91",0.60%
35,Automatic Data Processing Inc,ADP US,"86,940","$31,724,308.30",0.59%
36,Unilever Plc,ULVR LN,"420,692","$31,181,601.11",0.58%
37,Union Pacific Corp,UNP US,"84,344","$30,675,073.69",0.57%
38,Honeywell International Inc,HON US,"99,088","$29,353,594.04",0.54%
39,Lockheed Martin Corp,LMT US,"41,079","$28,183,008.54",0.52%
40,Intuitive Surgical Inc,ISRG US,"49,028","$28,071,465.14",0.52%
41,Nike Inc,NKE US,"202,603","$27,267,837.58",0.50%
42,L'Oreal Sa,OR FP,"39,178","$27,050,784.12",0.50%
43,United Parcel Service Inc,UPS US,"113,010","$25,614,242.00",0.47%
44,Blackrock Inc,BLK US,"21,085","$25,236,057.61",0.47%
45,Vertex Pharmaceuticals Inc,VRTX US,"40,024","$24,433,516.69",0.45%
46,Kla Corp,KLAC US,"23,305","$23,690,606.98",0.44%
47,Tjx Cos Inc/The,TJX US,"161,461","$23,360,374.18",0.43%
48,Cadence Design Systems Inc,CDNS US,"49,561","$22,951,737.80",0.42%
49,Gsk Plc,GSK LN,"731,042","$22,915,136.42",0.42%
50,Marsh & Mclennan Cos Inc,MMC US,"74,580","$22,623,057.92",0.42%
51,Relx Plc,REL LN,"348,576","$22,106,384.90",0.41%
52,Hermes International,RMS FP,"5,634","$22,056,994.43",0.41%
53,Regeneron Pharmaceuticals Inc,REGN US,"15,419","$21,831,241.98",0.40%
54,Arista Networks Inc,ANET US,"47,881","$20,892,415.74",0.39%
55,Diageo Plc,DGE LN,"368,275","$20,514,646.45",0.38%
56,Zoetis Inc,ZTS US,"80,124","$20,039,481.22",0.37%
57,Synopsys Inc,SNPS US,"23,371","$20,027,095.79",0.37%
58,Chipotle Mexican Grill Inc,CMG US,"4,595","$19,829,951.64",0.37%
59,Canadian Pacific Railway Ltd,CP CN,"147,831","$19,513,108.07",0.36%
60,Keyence Corp,6861 JP,"28,510","$19,400,187.43",0.36%
61,Illinois Tool Works Inc,ITW US,"48,005","$18,988,747.16",0.35%
62,Abb Ltd,ABBN SW,"261,430","$18,483,000.50",0.34%
63,Fortinet Inc,FTNT US,"171,166","$17,905,448.66",0.33%
64,Shin-Etsu Chemical Co Ltd,4063 JP,"277,175","$17,579,588.11",0.32%
65,Rio Tinto Plc,RIO LN,"175,744","$17,137,136.54",0.32%
66,Zurich Insurance Group Ag,ZURN SW,"21,115","$16,892,556.62",0.31%
67,Canadian National Railway Co,CNR CN,"85,843","$16,816,564.50",0.31%
68,Trane Technologies Plc,TT US,"37,383","$16,805,409.25",0.31%
69,Cintas Corp,CTAS US,"16,431","$16,498,288.39",0.30%
70,Cencora Inc,COR US,"44,808","$16,387,627.30",0.30%
71,Amphenol Corp,APH US,"93,143","$16,199,399.65",0.30%
72,Csx Corp,CSX US,"289,917","$15,823,217.51",0.29%
73,3m Co,MMM US,"113,603","$15,541,884.06",0.29%
74,Northrop Grumman Corp,NOC US,"21,753","$15,102,858.26",0.28%
75,Edwards Lifesciences Corp,EW US,"105,078","$14,480,381.73",0.27%
76,Ferrari Nv,RACE IM,"22,407","$14,243,939.66",0.26%
77,General Dynamics Corp,GD US,"32,085","$14,215,724.80",0.26%
78,Industria De Diseno Textil Sa,ITX SM,"187,864","$14,194,465.32",0.26%
79,Ww Grainger Inc,GWW US,"9,202","$13,809,539.48",0.25%
80,Recruit Holdings Co Ltd,6098 JP,"199,020","$13,227,435.96",0.24%
81,Nintendo Co Ltd,7974 JP,"166,713","$13,101,601.13",0.24%
82,Paychex Inc,PAYX US,"71,700","$12,999,827.31",0.24%
83,Ferguson Plc,FERG US,"38,535","$12,887,510.19",0.24%
84,Lululemon Athletica Inc,LULU US,"23,632","$12,767,997.26",0.24%
85,Glencore Plc,GLEN LN,"1,425,588","$12,649,967.96",0.23%
86,Old Dominion Freight Line Inc,ODFL US,"38,210","$12,590,019.99",0.23%
87,Super Micro Computer Inc,SMCI US,"8,587","$12,430,134.07",0.23%
88,Atlas Copco Ab,ATCOA SS,"476,056","$12,405,795.27",0.23%
89,Fastenal Co,FAST US,"108,726","$12,349,555.76",0.23%
