As-Of-Date,Symbol,Quantity,Percent of Assets,Name,BBG FIGI,Country,Currency,Exchange,Exchange (fx) Rate,Market Currency,Sector
2024-04-09,CVX,14059769.0000000000,4.0908926507,CHEVRON CORP,BBG000K4NHJ5,US,USD,XNYS,1.0000000000,USD,Energy
2024-04-09,LMT,4952521.0000000000,4.0421835841,LOCKHEED MARTIN CORP,BBG000C1BXJ8,US,USD,XNYS,1.0000000000,USD,Industrials
2024-04-09,VZ,53413164.0000000000,4.0214530383,VERIZON COMMUNICATIONS INC,BBG000HS79Q4,US,USD,XNYS,1.0000000000,USD,Communication Services
2024-04-09,TXN,13137068.0000000000,4.0165387571,TEXAS INSTRUMENT INC,BBG000BVVPD4,US,USD,XNGS,1.0000000000,USD,Information Technology
2024-04-09,UPS,14494588.0000000000,3.9255617407,UNITED PARCEL SERVICE INC CLASS B,BBG000L9CXY3,US,USD,XNYS,1.0000000000,USD,Industrials
2024-04-09,PEP,12823240.0000000000,3.9233650008,PEPSICO INC,BBG000DH7TN1,US,USD,XNGS,1.0000000000,USD,Consumer Staples
2024-04-09,CSCO,44566541.0000000000,3.8788460155,CISCO SYSTEMS INC,BBG000C3JBN9,US,USD,XNGS,1.0000000000,USD,Information Technology
2024-04-09,BMY,42063381.0000000000,3.8780320138,BRISTOL MYERS SQUIBB,BBG000DQLWT2,US,USD,XNYS,1.0000000000,USD,Health Care
2024-04-09,BLK,2645378.0000000000,3.8340928775,BLACKROCK INC,BBG000C2PYL6,US,USD,XNYS,1.0000000000,USD,Financials
2024-04-09,PFE,79211085.0000000000,3.7986322473,PFIZER INC,BBG000BR2F10,US,USD,XNYS,1.0000000000,USD,Health Care
2024-04-09,KO,35461379.0000000000,3.7920744862,COCA-COLA,BBG000BMX4N8,US,USD,XNYS,1.0000000000,USD,Consumer Staples
2024-04-09,AMGN,7719542.0000000000,3.7493233969,AMGEN INC,BBG000BBSCX9,US,USD,XNGS,1.0000000000,USD,Health Care
2024-04-09,HD,5672157.0000000000,3.7051270702,HOME DEPOT INC,BBG000BKZDM1,US,USD,XNYS,1.0000000000,USD,Consumer Discretionary
2024-04-09,ABBV,12032960.0000000000,3.6863491857,ABBVIE INC,BBG003P7K0B5,US,USD,XNYS,1.0000000000,USD,Health Care
