Holding Name,Ticker,Sector,Country code,% of net assets
Taiwan Semiconductor Manufacturing Co. Ltd.,2330,Semiconductors,TW,8.06235%
Samsung Electronics Co. Ltd.,005930,Telecommunications Equipment,KR,4.03560%
Tencent Holdings Ltd.,700,Consumer Digital Services,KY,3.39380%
Alibaba Group Holding Ltd.,9988,Diversified Retailers,KY,2.43009%
Reliance Industries Ltd.,RELIANCE,Oil Refining and Marketing,IN,1.81978%
AIA Group Ltd.,1299,Life Insurance,HK,1.42798%
HDFC Bank Ltd.,HDFCBANK,Banks,IN,1.22206%
PDD Holdings Inc.,PDD,Consumer Digital Services,KY,1.15742%
Infosys Ltd.,INFY,Computer Services,IN,1.09186%
SK Hynix Inc.,000660,Semiconductors,KR,0.97696%
China Construction Bank Corp.,939,Banks,CN,0.88929%
Meituan,3690,Consumer Digital Services,KY,0.84382%
MediaTek Inc.,2454,Semiconductors,TW,0.83464%
Tata Consultancy Services Ltd.,TCS,Computer Services,IN,0.77743%
DBS Group Holdings Ltd.,D05,Banks,SG,0.68609%
Industrial & Commercial Bank of China Ltd.,1398,Banks,CN,0.63482%
NetEase Inc.,9999,Electronic Entertainment,KY,0.61977%
Hong Kong Exchanges & Clearing Ltd.,388,Investment Services,HK,0.60646%
Hon Hai Precision Industry Co. Ltd.,2317,Electronic Components,TW,0.59864%
Samsung Electronics Co. Ltd.,005935,Telecommunications Equipment,KR,0.59776%
Bank Central Asia Tbk PT,BBCA,Banks,ID,0.53684%
Oversea-Chinese Banking Corp. Ltd.,O39,Banks,SG,0.51428%
Bank of China Ltd.,3988,Banks,CN,0.49893%
Bharti Airtel Ltd.,BHARTIARTL,Telecommunications Services,IN,0.48587%
Axis Bank Ltd.,AXISBANK,Banks,IN,0.45375%
Baidu Inc.,9888,Consumer Digital Services,KY,0.43506%
Larsen & Toubro Ltd.,LT,Engineering and Contracting Services,IN,0.43345%
Ping An Insurance Group Co. of China Ltd.,2318,Life Insurance,CN,0.42311%
Bank Rakyat Indonesia Persero Tbk PT,BBRI,Banks,ID,0.42121%
JD.com Inc.,9618,Diversified Retailers,KY,0.40918%
Hyundai Motor Co.,005380,Automobiles,KR,0.40262%
Hindustan Unilever Ltd.,HINDUNILVR,Personal Products,IN,0.39016%
Xiaomi Corp.,1810,Telecommunications Equipment,KY,0.38767%
United Overseas Bank Ltd.,U11,Banks,SG,0.38196%
POSCO Holdings Inc.,005490,Iron and Steel,KR,0.37721%
Li Auto Inc.,2015,Automobiles,KY,0.37205%
Trip.com Group Ltd.,9961,Travel and Tourism,KY,0.37059%
BYD Co. Ltd.,1211,Automobiles,CN,0.37058%
Kia Corp.,000270,Automobiles,KR,0.34845%
Mahindra & Mahindra Ltd.,M&M,Automobiles,IN,0.34374%
HCL Technologies Ltd.,HCLTECH,Computer Services,IN,0.33031%
NAVER Corp.,035420,Consumer Digital Services,KR,0.32080%
Celltrion Inc.,068270,Biotechnology,KR,0.31955%
Kweichow Moutai Co. Ltd.,600519,Distillers and Vintners,CN,0.31629%
Sun Pharmaceutical Industries Ltd.,SUNPHARMA,Pharmaceuticals,IN,0.31512%
Delta Electronics Inc.,2308,Electrical Components,TW,0.31480%
ICICI Bank Ltd.,ICICIBANK,Banks,IN,0.30808%
Bank Mandiri Persero Tbk PT,BMRI,Banks,ID,0.30692%
Tata Motors Ltd.,TATAMOTORS,Automobiles,IN,0.30365%
Quanta Computer Inc.,2382,Computer Hardware,TW,0.30234%
Bajaj Finance Ltd.,BAJFINANCE,Consumer Lending,IN,0.30069%
NTPC Ltd.,NTPC,Conventional Electricity,IN,0.29473%
United Microelectronics Corp.,2303,Semiconductors,TW,0.28183%
KB Financial Group Inc.,105560,Banks,KR,0.28086%
Titan Co. Ltd.,TITAN,Luxury Items,IN,0.27958%
PetroChina Co. Ltd.,857,Integrated Oil and Gas,CN,0.27687%
Maruti Suzuki India Ltd.,MARUTI,Automobiles,IN,0.27348%
CTBC Financial Holding Co. Ltd.,2891,Banks,TW,0.26308%
Yum China Holdings Inc.,9987,Restaurants and Bars,US,0.25491%
Shinhan Financial Group Co. Ltd.,055550,Banks,KR,0.25166%
Fubon Financial Holding Co. Ltd.,2881,Life Insurance,TW,0.25166%
State Bank of India,SBIN,Banks,IN,0.24600%
LG Chem Ltd.,051910,Electrical Components,KR,0.24233%
Asian Paints Ltd.,ASIANPAINT,Paints and Coatings,IN,0.23663%
ASE Technology Holding Co. Ltd.,3711,Production Technology Equipment,TW,0.23409%
Samsung SDI Co. Ltd.,006400,Electrical Components,KR,0.22932%
Kuaishou Technology,1024,Consumer Digital Services,KY,0.22889%
Malayan Banking Bhd.,MAYBANK,Banks,MY,0.22624%
Power Grid Corp. of India Ltd.,POWERGRID,Conventional Electricity,IN,0.22332%
Sun Hung Kai Properties Ltd.,16,Real Estate Holding and Development,HK,0.22327%
Chunghwa Telecom Co. Ltd.,2412,Telecommunications Services,TW,0.22232%
China Merchants Bank Co. Ltd.,3968,Banks,CN,0.22175%
New Oriental Education & Technology Group Inc.,9901,Education Services,KY,0.22164%
Tata Steel Ltd.,TATASTEEL,Iron and Steel,IN,0.22163%
ITC Ltd.,ITC,Tobacco,IN,0.22143%
Techtronic Industries Co. Ltd.,669,Machinery: Tools,HK,0.22046%
China Petroleum & Chemical Corp.,386,Oil Refining and Marketing,CN,0.22011%
Mega Financial Holding Co. Ltd.,2886,Banks,TW,0.21610%
UltraTech Cement Ltd.,ULTRACEMCO,Cement,IN,0.21586%
Adani Enterprises Ltd.,ADANIENT,Diversified Industrials,IN,0.21160%
Public Bank Bhd.,PBBANK,Banks,MY,0.21093%
CK Hutchison Holdings Ltd.,1,Diversified Industrials,KY,0.20916%
PTT PCL,PTT-F,Integrated Oil and Gas,TH,0.20656%
CLP Holdings Ltd.,2,Conventional Electricity,HK,0.20407%
China Shenhua Energy Co. Ltd.,1088,Coal,CN,0.19941%
Link REIT,823,Retail REITs,HK,0.19624%
Singapore Telecommunications Ltd.,Z74,Telecommunications Services,SG,0.19617%
Cathay Financial Holding Co. Ltd.,2882,Life Insurance,TW,0.19572%
Agricultural Bank of China Ltd.,1288,Banks,CN,0.19475%
Oil & Natural Gas Corp. Ltd.,ONGC,Oil: Crude Producers,IN,0.19363%
ANTA Sports Products Ltd.,2020,Clothing and Accessories,KY,0.19330%
LG Energy Solution Ltd.,373220,Electrical Components,KR,0.18896%
Coal India Ltd.,COALINDIA,Coal,IN,0.18687%
Galaxy Entertainment Group Ltd.,27,Casinos and Gambling,HK,0.18450%
Hana Financial Group Inc.,086790,Banks,KR,0.18277%
Kakao Corp.,035720,Consumer Digital Services,KR,0.18193%
Adani Ports & Special Economic Zone Ltd.,ADANIPORTS,Transportation Services,IN,0.18180%
E.Sun Financial Holding Co. Ltd.,2884,Banks,TW,0.18138%
Jio Financial Services Ltd.,JIOFIN,Oil Refining and Marketing,IN,0.18109%
Telkom Indonesia Persero Tbk PT,TLKM,Telecommunications Services,ID,0.17891%
Uni-President Enterprises Corp.,1216,Food Products,TW,0.17745%
Hyundai Mobis Co. Ltd.,012330,Auto Parts,KR,0.17625%
Zomato Ltd.,ZOMATO,Consumer Digital Services,IN,0.17194%
Nestle India Ltd.,NESTLEIND,Food Products,IN,0.16927%
CIMB Group Holdings Bhd.,CIMB,Banks,MY,0.16899%
Novatek Microelectronics Corp.,3034,Semiconductors,TW,0.16721%
Yuanta Financial Holding Co. Ltd.,2885,Investment Services,TW,0.16403%
Nan Ya Plastics Corp.,1303,Chemicals: Diversified,TW,0.16172%
Wistron Corp.,3231,Computer Hardware,TW,0.16054%
Asustek Computer Inc.,2357,Computer Hardware,TW,0.15324%
Samsung Biologics Co. Ltd.,207940,Biotechnology,KR,0.15281%
Grasim Industries Ltd.,GRASIM,Cement,IN,0.15248%
JSW Steel Ltd.,JSWSTEEL,Iron and Steel,IN,0.15237%
Alchip Technologies Ltd.,3661,Semiconductors,KY,0.15155%
China Steel Corp.,2002,Iron and Steel,TW,0.15093%
