Holding,Symbol,Weighting
"Taiwan Semiconductor Manufacturing Co., Ltd.",2330,1.51%
ASML Holding NV,ASML,1.38%
Novo Nordisk A/S Class B,NOVO.B,1.38%
Toyota Motor Corp.,7203,1.06%
Nestle S.A.,NESN,1.02%
"Samsung Electronics Co., Ltd.",005930,0.97%
Vanguard Cash Management Market Liquidity Fund,Other,0.94%
LVMH Moet Hennessy Louis Vuitton SE,MC,0.83%
Tencent Holdings Ltd.,700,0.81%
Novartis AG,NOVN,0.77%
SAP SE,SAP,0.76%
Shell Plc,SHEL,0.75%
AstraZeneca PLC,AZN,0.69%
Roche Holding Ltd Dividend Right Cert.,ROG,0.67%
Alibaba Group Holding Limited,9988,0.58%
HSBC Holdings Plc,HSBA,0.56%
Siemens Aktiengesellschaft,SIE,0.54%
BHP Group Ltd,BHP,0.53%
TotalEnergies SE,TTE,0.52%
Royal Bank of Canada,RY,0.5%
"Taiwan Semiconductor Manufacturing Co., Ltd. Sponsored ADR",TSM,0.48%
Commonwealth Bank of Australia,CBA,0.47%
Unilever PLC,ULVR,0.45%
Schneider Electric SE,SU,0.45%
"Mitsubishi UFJ Financial Group, Inc.",8306,0.44%
Reliance Industries Limited,500325,0.44%
Tokyo Electron Ltd.,8035,0.4%
Toronto-Dominion Bank,TD,0.4%
Allianz SE,ALV,0.4%
Sony Group Corporation,6758,0.39%
Sanofi,SAN,0.38%
Air Liquide SA,AI,0.37%
Airbus SE,AIR,0.36%
BP p.l.c.,BP,0.36%
AIA Group Limited,1299,0.34%
Keyence Corporation,6861,0.34%
CSL Limited,CSL,0.33%
"Shopify, Inc. Class A",SHOP,0.33%
Hermes International SCA,RMS,0.32%
UBS Group AG,UBSG,0.32%
RELX PLC,REL,0.31%
GSK plc,GSK,0.31%
Diageo plc,DGE,0.31%
L\'Oreal S.A. TEMP,Other,0.31%
Deutsche Telekom AG,DTE,0.3%
Compagnie Financiere Richemont SA,CFR,0.3%
Shin-Etsu Chemical Co Ltd,4063,0.3%
Canadian Pacific Kansas City Limited,CP,0.29%
HDFC Bank Limited,500180,0.29%
PDD Holdings Inc. Sponsored ADR Class A,PDD,0.28%
Zurich Insurance Group Ltd,ZURN,0.28%
"Hitachi,Ltd.",6501,0.28%
Canadian National Railway Company,CNR,0.28%
Canadian Natural Resources Limited,CNQ,0.27%
Enbridge Inc.,ENB,0.27%
Mitsubishi Corporation,8058,0.27%
Iberdrola SA,IBE,0.26%
"Sumitomo Mitsui Financial Group, Inc.",8316,0.26%
Safran SA,SAF,0.26%
National Australia Bank Limited,NAB,0.26%
Rio Tinto plc,RIO,0.26%
Mercedes-Benz Group AG,MBG,0.25%
ABB Ltd.,ABBN,0.25%
"Banco Santander, S.A.",SAN,0.25%
British American Tobacco p.l.c.,BATS,0.24%
Bank of Montreal,BMO,0.24%
EssilorLuxottica SA,EL,0.24%
"Mitsui & Co.,Ltd",8031,0.24%
AXA SA,CS,0.23%
BNP Paribas S.A. Class A,BNP,0.23%
"Daiichi Sankyo Company, Limited",4568,0.23%
Munich Reinsurance Company,MUV2,0.23%
VINCI SA,DG,0.23%
SK hynix Inc.,000660,0.23%
Brookfield Corporation,BN,0.23%
Glencore plc,GLEN,0.22%
CRH public limited company,CRG,0.22%
Westpac Banking Corporation,WBC,0.22%
"Recruit Holdings Co., Ltd.",6098,0.22%
"Banco Bilbao Vizcaya Argentaria, S.A.",BBVA,0.22%
Bank of Nova Scotia,BNS,0.22%
China Construction Bank Corporation Class H,939,0.21%
Itochu Corporation,8001,0.21%
SoftBank Group Corp.,9984,0.21%
UniCredit S.p.A.,UCG,0.21%
"Honda Motor Co., Ltd.",7267,0.21%
ANZ Group Holdings Limited,ANZ,0.21%
"Nintendo Co., Ltd.",7974,0.21%
"Tokio Marine Holdings, Inc.",8766,0.2%
Constellation Software Inc.,CSU,0.2%
MediaTek Inc,2454,0.2%
Meituan Class B,3690,0.2%
London Stock Exchange Group plc,LSEG,0.19%
Tata Consultancy Services Limited,532540,0.19%
Anheuser-Busch InBev SA/NV,ABI,0.19%
Enel SpA,ENEL,0.18%
Wesfarmers Limited,WES,0.18%
BAE Systems plc,BA,0.18%
National Grid plc,NG,0.18%
ING Groep NV,INGA,0.18%
Intesa Sanpaolo S.p.A.,ISP,0.18%
Ferrari NV,RACE,0.18%
Adyen NV,ADYEN,0.17%
"Macquarie Group, Ltd.",MQG,0.17%
DBS Group Holdings Ltd,D05,0.17%
Al Rajhi Bank,1120,0.17%
"Mizuho Financial Group, Inc.",8411,0.17%
KDDI Corporation,9433,0.17%
Compass Group PLC,CPG,0.17%
"Industria de Diseno Textil, S.A.",ITX,0.17%
Infineon Technologies AG,IFX,0.17%
Reckitt Benckiser Group plc,RKT,0.17%
BASF SE,BAS,0.17%
Deutsche Post AG,DHL,0.17%
Alimentation Couche-Tard Inc.,ATD,0.17%
Canadian Imperial Bank of Commerce,CM,0.16%
Sika AG,SIKA,0.16%
Prosus N.V. Class N,PRX,0.16%
"Waste Connections, Inc.",WCN,0.16%
Ferguson Plc,FERG,0.16%
Manulife Financial Corporation,MFC,0.16%
Suncor Energy Inc.,SU,0.16%
Atlas Copco AB Class A,ATCO.A,0.16%
Takeda Pharmaceutical Co. Ltd.,4502,0.16%
"FAST RETAILING CO., LTD.",9983,0.16%
HOYA CORPORATION,7741,0.16%
Holcim Ltd,HOLN,0.16%
Nordea Bank Abp,NDA.FI,0.15%
Investor AB Class B,INVE.B,0.15%
Vale S.A.,VALE3,0.15%
Volvo AB Class B,VOLV.B,0.15%
Danone SA,BN,0.15%
Alcon AG,ALC,0.15%
Industrial and Commercial Bank of China Limited Class H,1398,0.15%
TC Energy Corporation,TRP,0.15%
Samsung Electronics Co Ltd Pfd  Non-Voting,005935,0.14%
Lonza Group AG,LONN,0.14%
Rolls-Royce Holdings plc,RR,0.14%
Capgemini SE,CAP,0.14%
DENSO CORPORATION,6902,0.14%
Hong Kong Exchanges & Clearing Ltd.,388,0.14%
Lloyds Banking Group plc,LLOY,0.14%
Woodside Energy Group Ltd,WDS,0.14%
"DAIKIN INDUSTRIES, LTD.",6367,0.14%
Deutsche Boerse AG,DB1,0.14%
Experian PLC,EXPN,0.14%
Wolters Kluwer N.V.,WKL,0.14%
Netease Inc,9999,0.14%
Flutter Entertainment Plc,FLTR,0.14%
