Name,Exchange,Ticker,IESG,DVDY
WESFARMERS LTD,ASX,WES,7.31,4.69
IGO LTD,ASX,IGO,0.48
SONIC HEALTHCARE LTD,ASX,SHL,1.27
CASH COLLATERAL AUD JPSFT,,JPSFT,0.03
ABACUS GROUP UNIT,ASX,ABG,0.05
HEALIUS LTD,ASX,HLS,0.08
NORTHERN STAR RESOURCES LTD,ASX,NST,1.64
MOUNT GIBSON IRON LTD,ASX,MGX,0.02
FORTESCUE LTD,ASX,FMG,4.09
Pinnacle Investment Management Group Lt,ASX,PNI,4.45
COCHLEAR LTD,ASX,COH,2.11
AUB GROUP LTD,ASX,AUB,0.3,4.02
SUPER RETAIL GROUP LTD,ASX,SUL,0.24
Woolworths Group Ltd,ASX,WOW,3.39
MIRVAC GROUP STAPLED UNITS,ASX,MGR,0.9
CSL LTD,ASX,CSL,9.7
Carsales.Com Ltd,ASX,CAR,4.51
NINE ENTERTAINMENT CO HOLDINGS LTD,ASX,NEC,0.22
INGHAMS GROUP LTD,ASX,ING,0.12
AMPOL LTD,ASX,ALD,0.94
Aurizon Holdings Ltd,ASX,AZJ,4.12
ASX LTD,ASX,ASX,1.21,4.04
XERO LTD,ASX,XRO,1.74
Nib Holdings Ltd/Australia,ASX,NHF,3.76
AUSSIE BROADBAND LTD,ASX,ABB,0.08
CHAMPION IRON LTD,ASX,CIA,0.27
BRAMBLES LTD,ASX,BXB,2.11,4.55
AUSTRALIAN AGRICULTURAL COMPANY LT,ASX,AAC,0.02
Qube Holdings Ltd,ASX,QUB,4.12
CORPORATE TRAVEL MANAGEMENT LTD,ASX,CTD,0.2
AUD CASH,,AUD,0.47
SANDFIRE RESOURCES LTD,ASX,SFR,0.4
BREVILLE GROUP LTD,ASX,BRG,0.25
GRAINCORP CLASS A LTD,ASX,GNC,0.18
POLYNOVO LTD,ASX,PNV,0.14
ADBRI LTD,ASX,ABC,0.12
GOLD ROAD RESOURCES LTD,ASX,GOR,0.17
LIONTOWN RESOURCES LTD,ASX,LTR,0.17
Arb Corp Ltd,ASX,ARB,4.47
IMDEX LTD,ASX,IMD,0.12
LYNAS RARE EARTHS LTD,ASX,LYC,0.53
WEST AFRICAN RESOURCES LTD,ASX,WAF,0.13
PEPPER MONEY LTD,ASX,PPM,0.03
Other/Cash,,,0.0
ILUKA RESOURCES LTD,ASX,ILU,0.3
GOODMAN GROUP UNITS,ASX,GMG,5.4
REGIS RESOURCES LTD,ASX,RRL,0.15
APA GROUP UNITS,ASX,APA,1.05,3.67
HUB24 LTD,ASX,HUB,0.29
PERENTI LTD,ASX,PRN,0.07
EVOLUTION MINING LTD,ASX,EVN,0.72
PERPETUAL LTD,ASX,PPT,0.25,3.68
DETERRA ROYALTIES LTD,ASX,DRR,0.2,3.56
NANOSONICS LTD,ASX,NAN,0.06
WESTGOLD RESOURCES LTD,ASX,WGX,0.12
PERSEUS MINING LTD,ASX,PRU,0.3
SUNCORP GROUP LTD,ASX,SUN,2.01
BORAL LTD,ASX,BLD,0.16
HELIA GROUP LTD,ASX,HLI,0.11
