Name,Exchange,Ticker,IESG,DVDY,MVW,A200
Domain Holdings Australia Ltd,ASX,DHG,0%,3.54%,0%,0.03447835%
SMARTGROUP CORP LTD,ASX,SIQ,0%,0%,0%,0.05214131%
KAROON ENERGY LTD,ASX,KAR,0%,0%,0%,0.07862993%
LIGHT & WONDER INC,ASX,LNW,0%,0%,0%,0.10111944%
South32 Ltd,ASX,S32,0%,0%,1.43%,0.63395849%
ORICA LTD,ASX,ORI,0.84%,0%,1.4%,0.35965285%
ELDERS LTD,ASX,ELD,0.15%,0%,0%,0.06574302%
CHORUS LTD,ASX,CNU,0%,0%,0%,0.06297243%
GOLD ROAD RESOURCES LTD,ASX,GOR,0.17%,0%,0%,0.07360551%
LENDLEASE GROUP STAPLED UNITS,ASX,LLC,0.4%,0%,1.34%,0.19059867%
WEBJET LTD,ASX,WEB,0.32%,0%,0%,0.13551338%
CORONADO GLOBAL RESOURCES INC,ASX,CRN,0%,0%,0%,0.0451959%
RESMED INC,ASX,RMD,0%,0%,0%,0.68372375%
Arb Corp Ltd,ASX,ARB,0%,4.47%,0%,0.12705965%
Worley Ltd,ASX,WOR,0%,0%,1.29%,0.26711039%
COLLINS FOODS LTD,ASX,CKF,0%,0%,0%,0.04723756%
STOCKLAND STAPLED UNITS LTD,ASX,SGP,1.09%,0%,1.34%,0.48793419%
TRANSURBAN GROUP STAPLED UNITS,ASX,TCL,3.97%,3.75%,1.27%,1.77155961%
Other/Cash,,,0%,0.0%,0.08%,0%
Idp Education Ltd,ASX,IEL,0%,0%,1.19%,0.20923303%
SUPER RETAIL GROUP LTD,ASX,SUL,0.24%,0%,0%,0.09859448%
A2 MILK CO LTD/THE,ASX,A2M,0%,0%,0%,0.10832776%
CASH COLLATERAL AUD JPSFT,,JPSFT,0.03%,0%,0%,0%
AMCOR PLC,ASX,AMC,0%,0%,0%,0.36130346%
ILUKA RESOURCES LTD,ASX,ILU,0.3%,0%,0%,0.12598015%
JOHNS LYNG GROUP LTD,ASX,JLG,0%,0%,0%,0.04890343%
METCASH LTD,ASX,MTS,0%,0%,0%,0.15573407%
CREDIT CORP GROUP LTD,ASX,CCP,0.11%,0%,0%,0.04951728%
SITEMINDER LTD,ASX,SDR,0%,0%,0%,0.05240809%
MINERAL RESOURCES LTD,ASX,MIN,1.21%,0%,1.42%,0.5101869%
ARENA REIT,ASX,ARF,0%,0%,0%,0.05740213%
EVOLUTION MINING LTD,ASX,EVN,0.72%,0%,1.58%,0.33290142%
PEXA GROUP LTD,ASX,PXA,0%,0%,0%,0.06639334%
Anz Group Holdings Ltd,ASX,ANZ,0%,0%,1.3%,3.82411465%
FLETCHER BUILDING LTD,ASX,FBU,0%,0%,0%,0.03978946%
NANOSONICS LTD,ASX,NAN,0.06%,0%,0%,0.02815127%
Medibank Pvt Ltd,ASX,MPL,0%,3.99%,1.26%,0.44344221%
PREMIER INVESTMENTS LTD,ASX,PMV,0%,0%,0%,0.11352777%
Bhp Group Ltd,ASX,BHP,0%,0%,1.3%,9.81336002%
CAPRICORN METALS LTD,ASX,CMM,0%,0%,0%,0.06998757%
CHARTER HALL SOCIAL INFRASTRUC,ASX,CQE,0%,0%,0%,0.03825142%
LIONTOWN RESOURCES LTD,ASX,LTR,0.17%,0%,0%,0.07023113%
VULCAN STEEL LTD,ASX,VSL,0.06%,0%,0%,0%
GRAINCORP CLASS A LTD,ASX,GNC,0.18%,0%,0%,0.08134687%
Qantas Airways Ltd,ASX,QAN,0%,0%,1.41%,0.407572%
Pinnacle Investment Management Group Lt,ASX,PNI,0%,4.45%,0%,0.06698742%
IMDEX LTD,ASX,IMD,0.12%,0%,0%,0.04692212%
LYNAS RARE EARTHS LTD,ASX,LYC,0.53%,0%,1.26%,0.22226559%
Bank Of Queensland Ltd,ASX,BOQ,0%,0%,1.34%,0.17828537%
ANSELL LTD,ASX,ANN,0.3%,0%,0%,0.12935145%
VIVA ENERGY GROUP LTD,ASX,VEA,0%,0%,0%,0.17811783%
STANMORE RESOURCES LTD,ASX,SMR,0%,0%,0%,0.04115139%
Wisetech Global Ltd,ASX,WTC,0%,0%,1.27%,0.62082762%
CORPORATE TRAVEL MANAGEMENT LTD,ASX,CTD,0.2%,0%,0%,0.08761214%
ALUMINA LTD,ASX,AWC,0.37%,0%,0%,0.15348633%
INGHAMS GROUP LTD,ASX,ING,0.12%,0%,0%,0.05513645%
SONIC HEALTHCARE LTD,ASX,SHL,1.27%,0%,1.33%,0.57588467%
HEALIUS LTD,ASX,HLS,0.08%,0%,0%,0.03839743%
HELIA GROUP LTD,ASX,HLI,0.11%,0%,0%,0.04872704%
CHARTER HALL LONG WALE REIT,ASX,CLW,0%,0%,0%,0.10380203%
PILBARA MINERALS LTD,ASX,PLS,1.06%,0%,1.2%,0.44045551%
NEWMONT CORP,ASX,NEM,0%,0%,0%,0.40918422%
PERPETUAL LTD,ASX,PPT,0.25%,3.68%,0%,0.11896275%
TYRO PAYMENTS LTD,ASX,TYR,0.04%,0%,0%,0%
FLEETPARTNERS GROUP LTD,ASX,FPR,0.09%,0%,0%,0%
HOMECO DAILY NEEDS REIT,ASX,HDN,0%,0%,0%,0.08785451%
GENESIS MINERALS LTD,ASX,GMD,0%,0%,0%,0.07674208%
COMPUTERSHARE LTD,ASX,CPU,1.4%,4.17%,1.33%,0.60820322%
VENTIA SERVICES GROUP PTY LTD,ASX,VNT,0%,0%,0%,0.12149325%
SPI 200 JUN 24,,XPM4,0.0%,0%,0%,0%
Als Ltd,ASX,ALQ,0%,0%,1.32%,0.26569109%
BAPCOR LTD,ASX,BAP,0.21%,0%,0%,0.08364723%
SEVEN GROUP HOLDINGS LTD,ASX,SVW,0.62%,0%,1.27%,0.2649569%
ACCENT GROUP LTD,ASX,AX1,0.07%,0%,0%,0%
National Australia Bank Ltd,ASX,NAB,0%,0%,1.31%,4.63275498%
BLUESCOPE STEEL LTD,ASX,BSL,1.01%,0%,1.43%,0.45889932%
Aurizon Holdings Ltd,ASX,AZJ,0%,4.12%,1.35%,0.30246936%
INGENIA COMMUNITIES GROUP,ASX,INA,0%,0%,0%,0.07969052%
Rio Tinto Ltd,ASX,RIO,0%,0%,1.27%,1.94947654%
INSURANCE AUSTRALIA GROUP LTD,ASX,IAG,1.48%,0%,1.34%,0.67053658%
Nib Holdings Ltd/Australia,ASX,NHF,0%,3.76%,1.26%,0.16087482%
CENTURIA CAPITAL GROUP,ASX,CNI,0%,0%,0%,0.0504817%
DOWNER EDI LTD,ASX,DOW,0%,0%,0%,0.12452041%
BELLEVUE GOLD LTD,ASX,BGL,0.21%,0%,0%,0.09272045%
Santos Ltd,ASX,STO,0%,0%,1.44%,1.12097634%
LEO LITHIUM LTD,ASX,LLL,0.03%,0%,0%,0%
CHARTER HALL GROUP,ASX,CHC,0%,0%,0%,0.266432%
ORORA LTD,ASX,ORA,0.29%,0%,0%,0.12477171%
WEST AFRICAN RESOURCES LTD,ASX,WAF,0.13%,0%,0%,0.05319263%
BWP TRUST,ASX,BWP,0%,0%,0%,0.0727011%
Origin Energy Ltd,ASX,ORG,0%,0%,1.38%,0.69346117%
PALADIN ENERGY LTD,ASX,PDN,0%,0%,0%,0.16996912%
ALTIUM LTD,ASX,ALU,0.75%,0%,1.3%,0.33635912%
Reece Ltd,ASX,REH,0%,0%,1.29%,0.34829965%
TELSTRA GROUP LTD,ASX,TLS,1.5%,3.74%,1.31%,1.92822323%
MAGELLAN FINANCIAL GROUP LTD,ASX,MFG,0.17%,0%,0%,0.05678559%
LIFE360 INC,ASX,360,0%,0%,0%,0.08575%
SANDFIRE RESOURCES LTD,ASX,SFR,0.4%,0%,0%,0.17015012%
CHALLENGER LTD,ASX,CGF,0.3%,0%,0%,0.13518431%
NEW HOPE CORP LTD,ASX,NHC,0%,0%,0%,0.09931991%
DOMINO'S PIZZA ENTERPRISES LTD,ASX,DMP,0%,0%,0%,0.09251827%
MIRVAC GROUP STAPLED UNITS,ASX,MGR,0.9%,0%,1.4%,0.39603838%
NEWS CORP,ASX,NWS,0%,0%,0%,0.0499893%
BOSS ENERGY LTD,ASX,BOE,0%,0%,0%,0.08407442%
MOUNT GIBSON IRON LTD,ASX,MGX,0.02%,0%,0%,0%
FLIGHT CENTRE TRAVEL GROUP LTD,ASX,FLT,0%,0%,0%,0.14748225%
DEXUS STAPLED UNITS,ASX,DXS,0.79%,0%,1.35%,0.35099876%
NUFARM LTD,ASX,NUF,0.19%,0%,0%,0.07783107%
PRO MEDICUS LTD,ASX,PME,0%,0%,0%,0.23047095%
ASX LTD,ASX,ASX,1.21%,4.04%,1.27%,0.5388527%
Vicinity Centres,ASX,VCX,0%,0%,1.28%,0.31308187%
RED,ASX,RED,0.11%,0%,0%,0%
BEACH ENERGY LTD,ASX,BPT,0%,0%,0%,0.1284966%
Treasury Wine Estates Ltd,ASX,TWE,0%,0%,1.39%,0.45408238%
APA GROUP UNITS,ASX,APA,1.05%,3.67%,1.4%,0.47438877%
NATIONAL STORAGE REIT,ASX,NSR,0%,0%,0%,0.12290497%
COCHLEAR LTD,ASX,COH,2.11%,0%,1.26%,0.8832081%
CSR LTD,ASX,CSR,0.4%,0%,0%,0.18250794%
DE GREY MINING LTD,ASX,DEG,0%,0%,0%,0.08425669%
Atlas Arteria Ltd,ASX,ALX,0%,3.47%,1.29%,0.25284979%
AUD CASH,,AUD,0.47%,0%,0%,1.09396348%
AMP LTD,ASX,AMP,0%,0%,0%,0.1389198%
