Name,Exchange,Ticker,IESG,A200
MIRVAC GROUP STAPLED UNITS,ASX,MGR,0.9%,0.39603838%
WOOLWORTHS GROUP LTD,ASX,WOW,0%,1.64017775%
POLYNOVO LTD,ASX,PNV,0.14%,0.05839019%
METCASH LTD,ASX,MTS,0%,0.15573407%
AMP LTD,ASX,AMP,0%,0.1389198%
ANSELL LTD,ASX,ANN,0.3%,0.12935145%
NEW HOPE CORP LTD,ASX,NHC,0%,0.09931991%
CORONADO GLOBAL RESOURCES INC,ASX,CRN,0%,0.0451959%
NEWMONT CORP,ASX,NEM,0%,0.40918422%
WHITEHAVEN COAL LTD,ASX,WHC,0%,0.23954909%
PILBARA MINERALS LTD,ASX,PLS,1.06%,0.44045551%
NORTHERN STAR RESOURCES LTD,ASX,NST,1.64%,0.7418248%
LOVISA HOLDINGS LTD,ASX,LOV,0%,0.08266272%
GUD HOLDINGS LTD,ASX,GUD,0%,0.06699375%
FLETCHER BUILDING LTD,ASX,FBU,0%,0.03978946%
BENDIGO AND ADELAIDE BANK LTD,ASX,BEN,0.56%,0.24953686%
WASHINGTON H SOUL PATTINSON &,ASX,SOL,0%,0.3410249%
INGHAMS GROUP LTD,ASX,ING,0.12%,0.05513645%
CASH COLLATERAL AUD JPSFT,,JPSFT,0.03%,0%
AUDINATE GROUP LTD,ASX,AD8,0%,0.06416755%
REGION RE LTD,ASX,RGN,0%,0.11525474%
AUSSIE BROADBAND LTD,ASX,ABB,0.08%,0%
NUFARM LTD,ASX,NUF,0.19%,0.07783107%
WAYPOINT REIT LTD,ASX,WPR,0%,0.06793295%
MACQUARIE GROUP LTD DEF,ASX,MQG,6.96%,3.23204764%
EVT LTD,ASX,EVT,0%,0.06148652%
CHALLENGER LTD,ASX,CGF,0.3%,0.13518431%
BELLEVUE GOLD LTD,ASX,BGL,0.21%,0.09272045%
ATLAS ARTERIA LTD,ASX,ALX,0%,0.25284979%
VIRGIN MONEY UK PLC,ASX,VUK,0%,0.11512148%
GQG PARTNERS INC,ASX,GQG,0%,0.07575153%
WORLEY LTD,ASX,WOR,0%,0.26711039%
TELSTRA GROUP LTD,ASX,TLS,1.5%,1.92822323%
ARCADIUM LITHIUM PLC,ASX,LTM,0%,0.11543619%
ORORA LTD,ASX,ORA,0.29%,0.12477171%
ORICA LTD,ASX,ORI,0.84%,0.35965285%
CHARTER HALL LONG WALE REIT,ASX,CLW,0%,0.10380203%
SUPER RETAIL GROUP LTD,ASX,SUL,0.24%,0.09859448%
ABACUS GROUP UNIT,ASX,ABG,0.05%,0%
HELIA GROUP LTD,ASX,HLI,0.11%,0.04872704%
ORIGIN ENERGY LTD,ASX,ORG,0%,0.69346117%
STEADFAST GROUP LTD,ASX,SDF,0.59%,0.23791121%
LOTTERY CORP LTD/THE,ASX,TLC,0%,0.49716416%
IMDEX LTD,ASX,IMD,0.12%,0.04692212%
MAGELLAN FINANCIAL GROUP LTD,ASX,MFG,0.17%,0.05678559%
CSL LTD,ASX,CSL,9.7%,5.90213586%
VICINITY LTD,ASX,VCX,0%,0.31308187%
NATIONAL AUSTRALIA BANK LTD,ASX,NAB,0%,4.63275498%
G8 EDUCATION LTD,ASX,GEM,0.08%,0%
TABCORP HOLDINGS LTD,ASX,TAH,0%,0.07398175%
PREMIER INVESTMENTS LTD,ASX,PMV,0%,0.11352777%
NRW HOLDINGS LTD,ASX,NWH,0%,0.05210212%
CAPRICORN METALS LTD,ASX,CMM,0%,0.06998757%
JB HI-FI LTD,ASX,JBH,0%,0.29812899%
IGO LTD,ASX,IGO,0.48%,0.20857438%
NEWS CORP,ASX,NWS,0%,0.0499893%
GOLD ROAD RESOURCES LTD,ASX,GOR,0.17%,0.07360551%
EMERALD RESOURCES,ASX,EMR,0.17%,0.07220626%
JUDO CAPITAL HOLDINGS LTD,ASX,JDO,0.09%,0.04950861%
AMPOL LTD,ASX,ALD,0.94%,0.42903998%
IPH LTD,ASX,IPH,0%,0.06104547%
CARSALES.COM LTD,ASX,CAR,0%,0.47297136%
LIFESTYLE COMMUNITIES LTD,ASX,LIC,0%,0.05283327%
CHARTER HALL SOCIAL INFRASTRUC,ASX,CQE,0%,0.03825142%
